table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_hierarchy_depth,field_field_levela,field_sed_cip_series_codes
7647,r135,"Science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences -> Geological and earth sciences nec",Science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,Geological and earth sciences nec,4,Detailed,"40.0604, 40.0699, 15.1102, 30.38, 30.41"
7647,r136,"Science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean/ marine sciences and atmospheric science",Science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Ocean/ marine sciences and atmospheric science,,3,Major,"40.04, 40.0607, 26.1302, 30.32, 30.35"
7647,r137,"Science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean/ marine sciences and atmospheric science -> Atmospheric sciences and meteorology, general",Science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Ocean/ marine sciences and atmospheric science,"Atmospheric sciences and meteorology, general",4,Detailed,40.0401
7647,r138,"Science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean/ marine sciences and atmospheric science -> Climatology, atmospheric chemistry and physics",Science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Ocean/ marine sciences and atmospheric science,"Climatology, atmospheric chemistry and physics",4,Detailed,"40.0402, 40.0403"
7647,r139,"Science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean/ marine sciences and atmospheric science -> Marine biology and biological oceanography",Science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Ocean/ marine sciences and atmospheric science,Marine biology and biological oceanography,4,Detailed,26.1302
7647,r140,"Science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean/ marine sciences and atmospheric science -> Marine sciences",Science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Ocean/ marine sciences and atmospheric science,Marine sciences,4,Detailed,30.32
7647,r141,"Science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean/ marine sciences and atmospheric science -> Oceanography, chemical and physical",Science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Ocean/ marine sciences and atmospheric science,"Oceanography, chemical and physical",4,Detailed,40.0607
7647,r142,"Science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean/ marine sciences and atmospheric science -> Atmospheric sciences and meteorology nec",Science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Ocean/ marine sciences and atmospheric science,Atmospheric sciences and meteorology nec,4,Detailed,"40.0404, 40.0499, 30.35"
7647,r143,Science and engineering -> Health sciences,Science and engineering,Health sciences,,,2,Broad,51
7647,r144,Science and engineering -> Health sciences -> Nursing and nursing science,Science and engineering,Health sciences,Nursing and nursing science,,3,Major,"51.32, 51.38, 51.39"
7647,r145,Science and engineering -> Health sciences -> Nursing and nursing science -> Nursing education,Science and engineering,Health sciences,Nursing and nursing science,Nursing education,4,Detailed,51.3203
7647,r146,Science and engineering -> Health sciences -> Nursing and nursing science -> Nursing science,Science and engineering,Health sciences,Nursing and nursing science,Nursing science,4,Detailed,51.3808
7647,r147,Science and engineering -> Health sciences -> Nursing and nursing science -> Nursing specialties and practice,Science and engineering,Health sciences,Nursing and nursing science,Nursing specialties and practice,4,Detailed,"all other 51.32, 51.38, 51.39"
7647,r148,Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences,Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,,3,Major,51.2
7647,r149,Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences -> Medicinal and pharmaceutical chemistry,Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,Medicinal and pharmaceutical chemistry,4,Detailed,51.2004
7647,r150,Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences -> Pharmaceutical sciences,Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,Pharmaceutical sciences,4,Detailed,51.201
7647,r151,"Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences -> Pharmacy, pharmaceutical sciences, and administration nec",Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,"Pharmacy, pharmaceutical sciences, and administration nec",4,Detailed,all other 51.20
7647,r152,Science and engineering -> Health sciences -> Public health,Science and engineering,Health sciences,Public health,,3,Major,51.22
7647,r153,Science and engineering -> Health sciences -> Public health -> Environmental health,Science and engineering,Health sciences,Public health,Environmental health,4,Detailed,51.2202
7647,r154,Science and engineering -> Health sciences -> Public health -> Health services research,Science and engineering,Health sciences,Public health,Health services research,4,Detailed,51.2211b
7647,r155,Science and engineering -> Health sciences -> Public health -> Health/ medical physics,Science and engineering,Health sciences,Public health,Health/ medical physics,4,Detailed,51.2205
7647,r156,Science and engineering -> Health sciences -> Public health -> Public health education and promotion,Science and engineering,Health sciences,Public health,Public health education and promotion,4,Detailed,51.2207
7647,r157,"Science and engineering -> Health sciences -> Public health -> Public health, general",Science and engineering,Health sciences,Public health,"Public health, general",4,Detailed,51.2201
7647,r158,Science and engineering -> Health sciences -> Public health -> Public health nec,Science and engineering,Health sciences,Public health,Public health nec,4,Detailed,all other 51.22
7647,r159,"Science and engineering -> Health sciences -> Health sciences, other",Science and engineering,Health sciences,"Health sciences, other",,3,Major,"all other 51, 31.0505"
7647,r160,"Science and engineering -> Health sciences -> Health sciences, other -> Communication disorders sciences",Science and engineering,Health sciences,"Health sciences, other",Communication disorders sciences,4,Detailed,51.02
7647,r161,"Science and engineering -> Health sciences -> Health sciences, other -> Exercise science and kinesiology",Science and engineering,Health sciences,"Health sciences, other",Exercise science and kinesiology,4,Detailed,31.0505
7647,r162,"Science and engineering -> Health sciences -> Health sciences, other -> Health sciences, general",Science and engineering,Health sciences,"Health sciences, other","Health sciences, general",4,Detailed,51.0
7647,r163,"Science and engineering -> Health sciences -> Health sciences, other -> Marriage and family therapy/ counseling",Science and engineering,Health sciences,"Health sciences, other",Marriage and family therapy/ counseling,4,Detailed,51.1505
7647,r164,"Science and engineering -> Health sciences -> Health sciences, other -> Medical clinical science",Science and engineering,Health sciences,"Health sciences, other",Medical clinical science,4,Detailed,51.14
7647,r165,"Science and engineering -> Health sciences -> Health sciences, other -> Medical, biomedical, and health informatics",Science and engineering,Health sciences,"Health sciences, other","Medical, biomedical, and health informatics",4,Detailed,51.27
7647,r166,"Science and engineering -> Health sciences -> Health sciences, other -> Mental health, counseling, and therapy services and sciences",Science and engineering,Health sciences,"Health sciences, other","Mental health, counseling, and therapy services and sciences",4,Detailed,51.15
7647,r167,"Science and engineering -> Health sciences -> Health sciences, other -> Rehabilitation and therapeutic sciences",Science and engineering,Health sciences,"Health sciences, other",Rehabilitation and therapeutic sciences,4,Detailed,51.23
7647,r168,"Science and engineering -> Health sciences -> Health sciences, other -> Health sciences nec",Science and engineering,Health sciences,"Health sciences, other",Health sciences nec,4,Detailed,all other 51
7647,r169,Science and engineering -> Mathematics and statistics,Science and engineering,Mathematics and statistics,,,2,Broad,"27, 52.1304"
7647,r170,Science and engineering -> Mathematics and statistics -> Applied mathematics,Science and engineering,Mathematics and statistics,Applied mathematics,,3,Major,"27.03, 52.1304"
7647,r171,"Science and engineering -> Mathematics and statistics -> Applied mathematics -> Applied mathematics, general",Science and engineering,Mathematics and statistics,Applied mathematics,"Applied mathematics, general",4,Detailed,27.0301
7647,r172,Science and engineering -> Mathematics and statistics -> Applied mathematics -> Computational and applied mathematics,Science and engineering,Mathematics and statistics,Applied mathematics,Computational and applied mathematics,4,Detailed,"27.0303, 27.0304"
7647,r173,Science and engineering -> Mathematics and statistics -> Applied mathematics -> Applied mathematics nec,Science and engineering,Mathematics and statistics,Applied mathematics,Applied mathematics nec,4,Detailed,"all other 27.03, 52.1304"
7647,r174,Science and engineering -> Mathematics and statistics -> Mathematics,Science and engineering,Mathematics and statistics,Mathematics,,3,Major,"27.01, 27.99"
7647,r175,Science and engineering -> Mathematics and statistics -> Mathematics -> Algebra and number theory,Science and engineering,Mathematics and statistics,Mathematics,Algebra and number theory,4,Detailed,27.0102
7647,r176,"Science and engineering -> Mathematics and statistics -> Mathematics -> Mathematics, general",Science and engineering,Mathematics and statistics,Mathematics,"Mathematics, general",4,Detailed,27.0101
7647,r177,Science and engineering -> Mathematics and statistics -> Mathematics -> Mathematics nec,Science and engineering,Mathematics and statistics,Mathematics,Mathematics nec,4,Detailed,"all other 27.01, 27.99"
7647,r178,Science and engineering -> Mathematics and statistics -> Statistics,Science and engineering,Mathematics and statistics,Statistics,,3,Major,"27.05, 27.06"
7647,r179,"Science and engineering -> Mathematics and statistics -> Statistics -> Applied statistics, general",Science and engineering,Mathematics and statistics,Statistics,"Applied statistics, general",4,Detailed,27.06
7647,r180,Science and engineering -> Mathematics and statistics -> Statistics -> Mathematics and statistics,Science and engineering,Mathematics and statistics,Statistics,Mathematics and statistics,4,Detailed,27.0503
7647,r181,Science and engineering -> Mathematics and statistics -> Statistics -> Statistics,Science and engineering,Mathematics and statistics,Statistics,Statistics,4,Detailed,27.0501
7647,r182,Science and engineering -> Mathematics and statistics -> Statistics -> Statistics nec,Science and engineering,Mathematics and statistics,Statistics,Statistics nec,4,Detailed,"27.0502, 27.0599"
7647,r183,Science and engineering -> Multidisciplinary/ interdisciplinary sciences,Science and engineering,Multidisciplinary/ interdisciplinary sciences,,,2,Broad,"30.01, 30.05-30.11, 30.15-30.21, 30.23-30.27, 30.30, 30.31, 30.33, 30.34, 30.37, 30.39, 30.40, 30.42-30.44, 30.46, 30.48-30.51, 30.53, 30.70, 30.71, 30.9999b/c/d, 54.0104"
7647,r184,Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,,3,Major,"30.08, 30.16, 30.31, 30.39, 30.48, 30.9999b/d"
7647,r185,Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences -> Computer science and engineering,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,Computer science and engineering,4,Detailed,30.9999d
7647,r186,Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences -> Electrical engineering and computer science,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,Electrical engineering and computer science,4,Detailed,30.9999b
7647,r187,Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences -> Interdisciplinary computer sciences nec,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,Interdisciplinary computer sciences nec,4,Detailed,"30.08, 30.16, 30.31, 30.39, 30.48"
7647,r188,"Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other",Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",,3,Major,"30.01, 30.05, 30.06, 30.10, 30.11, 30.15, 30.17-30.21, 30.23-30.27, 30.30, 30.33, 30.34, 30.37, 30.40, 30.42-30.44, 30.46, 30.49-30.51, 30.53, 30.70, 30.71, 30.9999c, 54.0104"
7647,r189,"Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Behavioral and cognitive sciences",Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Behavioral and cognitive sciences,4,Detailed,"30.17, 30.25"
7647,r190,"Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Computational science and engineering",Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Computational science and engineering,4,Detailed,30.3
7647,r191,"Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Data science and data analytics",Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Data science and data analytics,4,Detailed,"30.70, 30.71"
7647,r192,"Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> History/ philosophy of science, technology and society",Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other","History/ philosophy of science, technology and society",4,Detailed,"30.15, 54.0104"
7647,r193,"Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Nanoscience/ nanoscale science",Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Nanoscience/ nanoscale science,4,Detailed,30.9999c
7647,r194,"Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Nutrition sciences",Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Nutrition sciences,4,Detailed,30.19
7647,r195,"Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Multidisciplinary/ interdisciplinary sciences nec",Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Multidisciplinary/ interdisciplinary sciences nec,4,Detailed,"30.01, 30.05, 30.06, 30.10, 30.18, 30.20, 30.21, 30.23, 30.26, 30.27, 30.33, 30.34, 30.37, 30.40, 30.42, 30.43, 30.44, 30.46, 30.49, 30.50, 30.51, 30.53"
7647,r196,Science and engineering -> Physical sciences,Science and engineering,Physical sciences,,,2,Broad,"all 40 except 40.04, 40.06"
7647,r197,Science and engineering -> Physical sciences -> Astronomy and astrophysics,Science and engineering,Physical sciences,Astronomy and astrophysics,,3,Major,40.02
7647,r198,Science and engineering -> Physical sciences -> Astronomy and astrophysics -> Astronomy,Science and engineering,Physical sciences,Astronomy and astrophysics,Astronomy,4,Detailed,40.0201
7647,r199,Science and engineering -> Physical sciences -> Astronomy and astrophysics -> Astrophysics,Science and engineering,Physical sciences,Astronomy and astrophysics,Astrophysics,4,Detailed,40.0202
7647,r200,Science and engineering -> Physical sciences -> Astronomy and astrophysics -> Astronomy and astrophysics nec,Science and engineering,Physical sciences,Astronomy and astrophysics,Astronomy and astrophysics nec,4,Detailed,"40.0203, 40.0299"
7647,r201,Science and engineering -> Physical sciences -> Chemistry,Science and engineering,Physical sciences,Chemistry,,3,Major,40.05
7647,r202,Science and engineering -> Physical sciences -> Chemistry -> Analytical chemistry,Science and engineering,Physical sciences,Chemistry,Analytical chemistry,4,Detailed,40.0502
7647,r203,Science and engineering -> Physical sciences -> Chemistry -> Chemical biology,Science and engineering,Physical sciences,Chemistry,Chemical biology,4,Detailed,40.0599b
7647,r204,"Science and engineering -> Physical sciences -> Chemistry -> Chemistry, general",Science and engineering,Physical sciences,Chemistry,"Chemistry, general",4,Detailed,40.0501
7647,r205,Science and engineering -> Physical sciences -> Chemistry -> Inorganic chemistry,Science and engineering,Physical sciences,Chemistry,Inorganic chemistry,4,Detailed,40.0503
7647,r206,Science and engineering -> Physical sciences -> Chemistry -> Organic chemistry,Science and engineering,Physical sciences,Chemistry,Organic chemistry,4,Detailed,40.0504
7647,r207,Science and engineering -> Physical sciences -> Chemistry -> Physical chemistry,Science and engineering,Physical sciences,Chemistry,Physical chemistry,4,Detailed,40.0506
7647,r208,Science and engineering -> Physical sciences -> Chemistry -> Polymer chemistry,Science and engineering,Physical sciences,Chemistry,Polymer chemistry,4,Detailed,40.0507
7647,r209,Science and engineering -> Physical sciences -> Chemistry -> Theoretical chemistry,Science and engineering,Physical sciences,Chemistry,Theoretical chemistry,4,Detailed,40.0511
7647,r210,Science and engineering -> Physical sciences -> Chemistry -> Chemistry nec,Science and engineering,Physical sciences,Chemistry,Chemistry nec,4,Detailed,all other 40.05
7647,r211,Science and engineering -> Physical sciences -> Materials sciences,Science and engineering,Physical sciences,Materials sciences,,3,Major,40.1
7647,r212,Science and engineering -> Physical sciences -> Materials sciences -> Materials science,Science and engineering,Physical sciences,Materials sciences,Materials science,4,Detailed,40.1001
7647,r213,Science and engineering -> Physical sciences -> Materials sciences -> Materials chemistry and materials science nec,Science and engineering,Physical sciences,Materials sciences,Materials chemistry and materials science nec,4,Detailed,"40.1002, 40.1099"
7647,r214,Science and engineering -> Physical sciences -> Physics,Science and engineering,Physical sciences,Physics,,3,Major,"40.08, 40.11"
7647,r215,Science and engineering -> Physical sciences -> Physics -> Applied physics,Science and engineering,Physical sciences,Physics,Applied physics,4,Detailed,40.0899b
7647,r216,Science and engineering -> Physical sciences -> Physics -> Atomic/ molecular physics,Science and engineering,Physical sciences,Physics,Atomic/ molecular physics,4,Detailed,40.0802
7647,r217,Science and engineering -> Physical sciences -> Physics -> Condensed matter and materials physics,Science and engineering,Physical sciences,Physics,Condensed matter and materials physics,4,Detailed,40.0808a
7647,r218,Science and engineering -> Physical sciences -> Physics -> Elementary particle physics,Science and engineering,Physical sciences,Physics,Elementary particle physics,4,Detailed,40.0804
7647,r219,Science and engineering -> Physical sciences -> Physics -> Nuclear physics,Science and engineering,Physical sciences,Physics,Nuclear physics,4,Detailed,40.0806
7647,r220,Science and engineering -> Physical sciences -> Physics -> Optics/ optical sciences,Science and engineering,Physical sciences,Physics,Optics/ optical sciences,4,Detailed,40.0807
7647,r221,Science and engineering -> Physical sciences -> Physics -> Physics and astronomy,Science and engineering,Physical sciences,Physics,Physics and astronomy,4,Detailed,40.11
7647,r222,"Science and engineering -> Physical sciences -> Physics -> Physics, general",Science and engineering,Physical sciences,Physics,"Physics, general",4,Detailed,40.0801
7647,r223,Science and engineering -> Physical sciences -> Physics -> Plasma and high-temperature physics,Science and engineering,Physical sciences,Physics,Plasma and high-temperature physics,4,Detailed,40.0805
7647,r224,Science and engineering -> Physical sciences -> Physics -> Theoretical and mathematical physics,Science and engineering,Physical sciences,Physics,Theoretical and mathematical physics,4,Detailed,40.081
7647,r225,Science and engineering -> Physical sciences -> Physics -> Physics and physical sciences nec,Science and engineering,Physical sciences,Physics,Physics and physical sciences nec,4,Detailed,"all other 40.08, 40.0101, 40.9999"
7647,r226,Science and engineering -> Psychology,Science and engineering,Psychology,,,2,Broad,"42, 19.0701, 19.0702, 19.0706"
7647,r227,Science and engineering -> Psychology -> Clinical psychology,Science and engineering,Psychology,Clinical psychology,,3,Major,"42.2801, 42.2807"
7647,r228,Science and engineering -> Psychology -> Clinical psychology -> Clinical child psychology,Science and engineering,Psychology,Clinical psychology,Clinical child psychology,4,Detailed,42.2807
7647,r229,Science and engineering -> Psychology -> Clinical psychology -> Clinical psychology,Science and engineering,Psychology,Clinical psychology,Clinical psychology,4,Detailed,42.2801
7647,r230,Science and engineering -> Psychology -> Counseling and applied psychology,Science and engineering,Psychology,Counseling and applied psychology,,3,Major,"all 42.28 except 42.2801, 42.2807"
7647,r231,Science and engineering -> Psychology -> Counseling and applied psychology -> Applied behavior analysis,Science and engineering,Psychology,Counseling and applied psychology,Applied behavior analysis,4,Detailed,42.2814
7647,r232,Science and engineering -> Psychology -> Counseling and applied psychology -> Counseling psychology,Science and engineering,Psychology,Counseling and applied psychology,Counseling psychology,4,Detailed,42.2803
7647,r233,Science and engineering -> Psychology -> Counseling and applied psychology -> Educational psychology,Science and engineering,Psychology,Counseling and applied psychology,Educational psychology,4,Detailed,42.2806
7647,r234,Science and engineering -> Psychology -> Counseling and applied psychology -> Industrial and organizational psychology,Science and engineering,Psychology,Counseling and applied psychology,Industrial and organizational psychology,4,Detailed,42.2804
7647,r235,Science and engineering -> Psychology -> Counseling and applied psychology -> School psychology,Science and engineering,Psychology,Counseling and applied psychology,School psychology,4,Detailed,42.2805
7647,r236,Science and engineering -> Psychology -> Counseling and applied psychology -> Counseling and applied psychology nec,Science and engineering,Psychology,Counseling and applied psychology,Counseling and applied psychology nec,4,Detailed,all other 42.28
7647,r237,Science and engineering -> Psychology -> Research and experimental psychology,Science and engineering,Psychology,Research and experimental psychology,,3,Major,42.27
7647,r238,Science and engineering -> Psychology -> Research and experimental psychology -> Behavioral neuroscience,Science and engineering,Psychology,Research and experimental psychology,Behavioral neuroscience,4,Detailed,42.2706
7647,r239,Science and engineering -> Psychology -> Research and experimental psychology -> Cognitive psychology and psycholinguistics,Science and engineering,Psychology,Research and experimental psychology,Cognitive psychology and psycholinguistics,4,Detailed,42.2701
7647,r240,Science and engineering -> Psychology -> Research and experimental psychology -> Developmental and child psychology,Science and engineering,Psychology,Research and experimental psychology,Developmental and child psychology,4,Detailed,42.2703
7647,r241,Science and engineering -> Psychology -> Research and experimental psychology -> Experimental psychology,Science and engineering,Psychology,Research and experimental psychology,Experimental psychology,4,Detailed,42.2704
7647,r242,Science and engineering -> Psychology -> Research and experimental psychology -> Social psychology,Science and engineering,Psychology,Research and experimental psychology,Social psychology,4,Detailed,42.2707
7647,r243,Science and engineering -> Psychology -> Research and experimental psychology -> Research and experimental psychology nec,Science and engineering,Psychology,Research and experimental psychology,Research and experimental psychology nec,4,Detailed,all other 42.27
7647,r244,"Science and engineering -> Psychology -> Psychology, other",Science and engineering,Psychology,"Psychology, other",,3,Major,"42.01, 42.99, 19.0701, 19.0702, 19.0706"
7647,r245,"Science and engineering -> Psychology -> Psychology, other -> Human development",Science and engineering,Psychology,"Psychology, other",Human development,4,Detailed,"19.0701, 19.0702, 19.0706"
7647,r246,"Science and engineering -> Psychology -> Psychology, other -> Psychology, general",Science and engineering,Psychology,"Psychology, other","Psychology, general",4,Detailed,42.01
7647,r247,"Science and engineering -> Psychology -> Psychology, other -> Psychology nec",Science and engineering,Psychology,"Psychology, other",Psychology nec,4,Detailed,42.99
7647,r248,Science and engineering -> Social sciences,Science and engineering,Social sciences,,,2,Broad,"45, 03.0204, 05, 16, 30.47, 43.01, 44.05"
7647,r249,Science and engineering -> Social sciences -> Anthropology,Science and engineering,Social sciences,Anthropology,,3,Major,45.02
7647,r250,"Science and engineering -> Social sciences -> Anthropology -> Anthropology, general",Science and engineering,Social sciences,Anthropology,"Anthropology, general",4,Detailed,45.0201
7647,r251,Science and engineering -> Social sciences -> Anthropology -> Cultural anthropology,Science and engineering,Social sciences,Anthropology,Cultural anthropology,4,Detailed,45.0204
7647,r252,Science and engineering -> Social sciences -> Anthropology -> Physical and biological anthropology,Science and engineering,Social sciences,Anthropology,Physical and biological anthropology,4,Detailed,45.0202
7647,r253,Science and engineering -> Social sciences -> Anthropology -> Anthropology nec,Science and engineering,Social sciences,Anthropology,Anthropology nec,4,Detailed,all other 45.02
7647,r254,"Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies",Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies",,3,Major,5
7647,r255,"Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies -> Area studies",Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies",Area studies,4,Detailed,5.01
7647,r256,"Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies -> Ethnic studies",Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies",Ethnic studies,4,Detailed,05.0200-05.0206
7647,r257,"Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies -> Area, ethnic, cultural, gender, and group studies nec",Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies","Area, ethnic, cultural, gender, and group studies nec",4,Detailed,"05.0207-05.0299, 05.9999"
7647,r258,Science and engineering -> Social sciences -> Economics,Science and engineering,Social sciences,Economics,,3,Major,"45.06, 01.0103, 03.0204"
7647,r259,Science and engineering -> Social sciences -> Economics -> Agricultural economics,Science and engineering,Social sciences,Economics,Agricultural economics,4,Detailed,1.0103
7647,r260,Science and engineering -> Social sciences -> Economics -> Applied economics,Science and engineering,Social sciences,Economics,Applied economics,4,Detailed,45.0602a
7647,r261,Science and engineering -> Social sciences -> Economics -> Development economics and international development,Science and engineering,Social sciences,Economics,Development economics and international development,4,Detailed,45.0604
7647,r262,Science and engineering -> Social sciences -> Economics -> Econometrics and quantitative economics,Science and engineering,Social sciences,Economics,Econometrics and quantitative economics,4,Detailed,45.0603
7647,r263,"Science and engineering -> Social sciences -> Economics -> Economics, general",Science and engineering,Social sciences,Economics,"Economics, general",4,Detailed,45.0601
7647,r264,Science and engineering -> Social sciences -> Economics -> Environmental/ natural resource economics,Science and engineering,Social sciences,Economics,Environmental/ natural resource economics,4,Detailed,"45.0602b, 03.0204"
7647,r265,Science and engineering -> Social sciences -> Economics -> Economics nec,Science and engineering,Social sciences,Economics,Economics nec,4,Detailed,all other 45.06
7647,r266,Science and engineering -> Social sciences -> Political science and government,Science and engineering,Social sciences,Political science and government,,3,Major,45.1
7647,r267,"Science and engineering -> Social sciences -> Political science and government -> Political science and government, general",Science and engineering,Social sciences,Political science and government,"Political science and government, general",4,Detailed,45.1001
7647,r268,Science and engineering -> Social sciences -> Political science and government -> Political science and government nec,Science and engineering,Social sciences,Political science and government,Political science and government nec,4,Detailed,all other 45.10
7647,r269,Science and engineering -> Social sciences -> Public policy analysis,Science and engineering,Social sciences,Public policy analysis,,3,Major,44.05
7647,r270,Science and engineering -> Social sciences -> Public policy analysis -> Education policy analysis,Science and engineering,Social sciences,Public policy analysis,Education policy analysis,4,Detailed,44.0502
7647,r271,Science and engineering -> Social sciences -> Public policy analysis -> Health policy analysis,Science and engineering,Social sciences,Public policy analysis,Health policy analysis,4,Detailed,44.0503
7647,r272,"Science and engineering -> Social sciences -> Public policy analysis -> Public policy analysis, general",Science and engineering,Social sciences,Public policy analysis,"Public policy analysis, general",4,Detailed,44.0501
7647,r273,Science and engineering -> Social sciences -> Public policy analysis -> Public policy nec,Science and engineering,Social sciences,Public policy analysis,Public policy nec,4,Detailed,all other 44.05
7647,r274,"Science and engineering -> Social sciences -> Sociology, demography, and population studies",Science and engineering,Social sciences,"Sociology, demography, and population studies",,3,Major,"45.05, 45.11"
7647,r275,"Science and engineering -> Social sciences -> Sociology, demography, and population studies -> Sociology, general",Science and engineering,Social sciences,"Sociology, demography, and population studies","Sociology, general",4,Detailed,45.1101
7647,r276,"Science and engineering -> Social sciences -> Sociology, demography, and population studies -> Sociology, demography, and population studies nec",Science and engineering,Social sciences,"Sociology, demography, and population studies","Sociology, demography, and population studies nec",4,Detailed,"all other 45.11, 45.05"
7647,r277,"Science and engineering -> Social sciences -> Social sciences, other",Science and engineering,Social sciences,"Social sciences, other",,3,Major,"all other 45, 16.0102, 16.0105, 16.0199, 30.47, 43.01, 43.0402, 43.0403, 43.0406"
7647,r278,"Science and engineering -> Social sciences -> Social sciences, other -> Applied linguistics",Science and engineering,Social sciences,"Social sciences, other",Applied linguistics,4,Detailed,"16.0105, 16.0199"
7647,r279,"Science and engineering -> Social sciences -> Social sciences, other -> Archeology",Science and engineering,Social sciences,"Social sciences, other",Archeology,4,Detailed,45.03
7647,r280,"Science and engineering -> Social sciences -> Social sciences, other -> Criminal justice and corrections",Science and engineering,Social sciences,"Social sciences, other",Criminal justice and corrections,4,Detailed,"43.01, 43.0402, 43.0403, 43.0406"
7647,r281,"Science and engineering -> Social sciences -> Social sciences, other -> Criminology",Science and engineering,Social sciences,"Social sciences, other",Criminology,4,Detailed,45.04
7647,r282,"Science and engineering -> Social sciences -> Social sciences, other -> Geography and cartography",Science and engineering,Social sciences,"Social sciences, other",Geography and cartography,4,Detailed,45.07
7647,r283,"Science and engineering -> Social sciences -> Social sciences, other -> International relations and national security studies",Science and engineering,Social sciences,"Social sciences, other",International relations and national security studies,4,Detailed,45.09
7647,r284,"Science and engineering -> Social sciences -> Social sciences, other -> Linguistics",Science and engineering,Social sciences,"Social sciences, other",Linguistics,4,Detailed,16.0102
