table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
10470,r001,All HBCUs,All HBCUs,,1,552157,356419,8762,0,101944,85033
10470,r002,All HBCUs -> North Carolina A&T State U.,All HBCUs,North Carolina A&T State U.,2,42438,25785,5553,0,4720,6380
10470,r003,All HBCUs -> Howard U.,All HBCUs,Howard U.,2,34287,29811,379,0,3081,1017
10470,r004,All HBCUs -> Delaware State U.,All HBCUs,Delaware State U.,2,29335,22594,0,0,3068,3673
10470,r005,All HBCUs -> Morgan State U.,All HBCUs,Morgan State U.,2,25163,20659,400,0,3873,231
10470,r006,All HBCUs -> Prairie View A&M U.,All HBCUs,Prairie View A&M U.,2,24240,13611,0,0,3457,7172
10470,r007,All HBCUs -> Florida A&M U.,All HBCUs,Florida A&M U.,2,23652,16593,0,0,2880,4180
10470,r008,All HBCUs -> Tuskegee U.,All HBCUs,Tuskegee U.,2,21979,11528,346,0,8267,1838
10470,r009,All HBCUs -> Alabama A&M U.,All HBCUs,Alabama A&M U.,2,21957,11430,0,0,3606,6921
10470,r010,All HBCUs -> Tennessee State U.,All HBCUs,Tennessee State U.,2,21868,12893,0,0,3604,5371
10470,r011,All HBCUs -> Morehouse School of Medicine,All HBCUs,Morehouse School of Medicine,2,20179,20010,0,0,23,146
10470,r012,All HBCUs -> Meharry Medical C.,All HBCUs,Meharry Medical C.,2,19916,11094,671,0,8150,0
10470,r013,All HBCUs -> Central State U.,All HBCUs,Central State U.,2,18216,8424,0,0,2880,6913
10470,r014,All HBCUs -> Lincoln U.,All HBCUs,Lincoln U.,2,15309,7399,0,0,2102,5809
10470,r015,All HBCUs -> Xavier U. Louisiana,All HBCUs,Xavier U. Louisiana,2,15185,11447,0,0,3739,0
10470,r016,All HBCUs -> North Carolina Central U.,All HBCUs,North Carolina Central U.,2,14686,14002,0,0,379,304
10470,r017,All HBCUs -> Virginia State U.,All HBCUs,Virginia State U.,2,14446,8062,0,0,2018,4366
10470,r018,All HBCUs -> U. Virgin Islands,All HBCUs,U. Virgin Islands,2,14092,10541,0,0,1431,2119
10470,r019,All HBCUs -> Kentucky State U.,All HBCUs,Kentucky State U.,2,13879,6579,0,0,1934,5366
10470,r020,"All HBCUs -> U. Maryland, Eastern Shore",All HBCUs,"U. Maryland, Eastern Shore",2,13290,7623,0,0,2604,3064
10470,r021,All HBCUs -> Hampton U.,All HBCUs,Hampton U.,2,12353,9767,350,0,2236,0
10470,r022,All HBCUs -> All other HBCUs,All HBCUs,All other HBCUs,2,135687,76569,1064,0,37890,20162
