table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_hierarchy_depth,field_participated_in_a_medical_or_clinical_research_study,field_made_observations_or_collected_data_samples_as_part_of_a_science_research_project_such_as_observations_about_bird_animal_and_plant_life_or_weather_air_and_water_quality_,field_contributed_to_a_science_related_online_crowdsourcing_activity_such_as_classifying_stars_and_galaxies_or_identifying_animals_,field_helped_a_child_with_a_science_project_whether_for_school_or_for_an_outside_school_activity,field_participated_in_a_maker_movement_or_hack_a_thon_event_to_develop_new_technologies_devices_or_software,field_donated_blood,field_donated_money_to_support_medical_or_science_research
10494,r001,"All adults (<i>n</i> = 10,957)","All adults (<i>n</i> = 10,957)",,,1,6,7,3,19,2,8,13
10494,r002,"All adults (<i>n</i> = 10,957) -> Family income category<sup>a</sup>","All adults (<i>n</i> = 10,957)",Family income category<sup>a</sup>,,2,,,,,,,
10494,r003,"All adults (<i>n</i> = 10,957) -> Family income category<sup>a</sup> -> Upper income (<i>n</i> = 4,781)","All adults (<i>n</i> = 10,957)",Family income category<sup>a</sup>,"Upper income (<i>n</i> = 4,781)",3,7,9,3,23,2,10,19
10494,r004,"All adults (<i>n</i> = 10,957) -> Family income category<sup>a</sup> -> Middle income (<i>n</i> = 3,624)","All adults (<i>n</i> = 10,957)",Family income category<sup>a</sup>,"Middle income (<i>n</i> = 3,624)",3,5,6,2,19,1,8,13
10494,r005,"All adults (<i>n</i> = 10,957) -> Family income category<sup>a</sup> -> Lower income (<i>n</i> = 2,085)","All adults (<i>n</i> = 10,957)",Family income category<sup>a</sup>,"Lower income (<i>n</i> = 2,085)",3,6,7,4,17,2,6,8
10494,r006,"All adults (<i>n</i> = 10,957) -> Education category","All adults (<i>n</i> = 10,957)",Education category,,2,,,,,,,
10494,r007,"All adults (<i>n</i> = 10,957) -> Education category -> Postgraduate (<i>n</i> = 2,770)","All adults (<i>n</i> = 10,957)",Education category,"Postgraduate (<i>n</i> = 2,770)",3,9,12,4,27,2,9,23
10494,r008,"All adults (<i>n</i> = 10,957) -> Education category -> College graduate (<i>n</i> = 3,176)","All adults (<i>n</i> = 10,957)",Education category,"College graduate (<i>n</i> = 3,176)",3,6,8,3,22,2,11,17
10494,r009,"All adults (<i>n</i> = 10,957) -> Education category -> Some college (<i>n </i>= 3,294)","All adults (<i>n</i> = 10,957)",Education category,"Some college (<i>n </i>= 3,294)",3,7,6,3,18,1,8,13
10494,r010,"All adults (<i>n</i> = 10,957) -> Education category -> High school or less (<i>n</i> = 1,692)","All adults (<i>n</i> = 10,957)",Education category,"High school or less (<i>n</i> = 1,692)",3,4,5,3,17,1,6,8
