table_id,row_id,field_and_research_animal_space_full_path,field_and_research_animal_space_level_1,field_and_research_animal_space_level_2,field_and_research_animal_space_hierarchy_depth,field_fy_2007,field_fy_2009,field_fy_2011,field_fy_2013,field_fy_2015,field_fy_2017,field_fy_2019
2939,r001,All research space,All research space,,1,187.9,196.1,202.2,211.8,214.5,221.2,227.3
2939,r002,All research space -> Agricultural sciences,All research space,Agricultural sciences,2,27.9,29.5,27.6,30.5,28.3,29.0,28.4
2939,r003,All research space -> Biological and biomedical sciences,All research space,Biological and biomedical sciences,2,44.8,50.3,53.7,57.2,55.9,57.7,58.7
2939,r004,All research space -> Computer and information sciences,All research space,Computer and information sciences,2,4.8,5.2,5.0,4.3,4.3,4.2,4.6
2939,r005,All research space -> Engineering,All research space,Engineering,2,28.4,30.2,31.7,33.4,34.2,35.2,38.1
2939,r006,"All research space -> Geosciences, atmospheric sciences, and ocean sciences",All research space,"Geosciences, atmospheric sciences, and ocean sciences",2,8.4,8.0,7.8,7.8,8.1,8.5,8.7
2939,r007,All research space -> Health sciences,All research space,Health sciences,2,37.0,36.3,36.7,38.0,39.2,39.8,41.2
2939,r008,All research space -> Mathematics and statistics,All research space,Mathematics and statistics,2,1.6,1.5,1.5,1.7,1.8,1.8,1.8
2939,r009,All research space -> Natural resources and conservation,All research space,Natural resources and conservation,2,na,na,na,na,3.5,4.3,4.7
2939,r010,All research space -> Physical sciences,All research space,Physical sciences,2,20.3,20.5,21.8,22.9,22.7,23.2,23.4
2939,r011,All research space -> Psychology,All research space,Psychology,2,4.9,5.2,5.5,5.5,5.5,5.6,5.9
2939,r012,All research space -> Social sciences,All research space,Social sciences,2,6.0,5.5,5.7,5.7,6.0,6.1,6.4
2939,r013,All research space -> Other fields of S&E,All research space,Other fields of S&E,2,3.7,3.9,5.2,4.8,4.9,5.8,5.3
2939,r014,All research space -> Research animal space<sup>a</sup>,All research space,Research animal space<sup>a</sup>,2,17.8,18.1,18.4,18.9,19.2,19.2,19.0
2939,r015,All research space -> Medical school space<sup>a</sup>,All research space,Medical school space<sup>a</sup>,2,43.8,44.3,47.6,48.6,48.6,47.5,49.7
