table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_total
12252,r001,Total,Total,,,1,45500
12252,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,21000
12252,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,16500
12252,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,4700
12252,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,na
12252,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,na
12252,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,na
12252,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,24500
12252,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,7000
12252,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,17500
