table_id,row_id,time_period,population_subset_level_1,population_subset_level_2,population_subset_level_3,population_subset_hierarchy_depth,value
6751,r001,Patents dependent variable,Population subset,Inventive class (IC),Coefficient estimate,3,"['', '']"
6751,r002,Patents dependent variable,Population subset,"Science, engineering, and technical (SET) employment",Coefficient estimate,3,"['', '']"
6751,r003,Patents dependent variable,Population subset,Creative class (CC),Coefficient estimate,3,"['', '']"
6751,r004,Patents dependent variable,Population subset,At least 4-year college degree (BA),Coefficient estimate,3,"['', '']"
6751,r005,Patents dependent variable -> IC,Population subset,Inventive class (IC),Coefficient estimate,3,"['0.021 ', '-']"
6751,r006,Patents dependent variable -> IC,Population subset,Inventive class (IC),p-value,3,0.66
6751,r007,Patents dependent variable -> IC,Population subset,"Science, engineering, and technical (SET) employment",Coefficient estimate,3,"['-', '-']"
6751,r008,Patents dependent variable -> IC,Population subset,"Science, engineering, and technical (SET) employment",p-value,3,-
6751,r009,Patents dependent variable -> IC,Population subset,Creative class (CC),Coefficient estimate,3,"['-', '-']"
6751,r010,Patents dependent variable -> IC,Population subset,Creative class (CC),p-value,3,-
6751,r011,Patents dependent variable -> IC,Population subset,At least 4-year college degree (BA),Coefficient estimate,3,"['-', '-']"
6751,r012,Patents dependent variable -> IC,Population subset,At least 4-year college degree (BA),p-value,3,-
6751,r013,Patents dependent variable -> SET,Population subset,Inventive class (IC),Coefficient estimate,3,"['-', '-']"
6751,r014,Patents dependent variable -> SET,Population subset,Inventive class (IC),p-value,3,-
6751,r015,Patents dependent variable -> SET,Population subset,"Science, engineering, and technical (SET) employment",Coefficient estimate,3,"['0.033 ', '-']"
6751,r016,Patents dependent variable -> SET,Population subset,"Science, engineering, and technical (SET) employment",p-value,3,0.605
6751,r017,Patents dependent variable -> SET,Population subset,Creative class (CC),Coefficient estimate,3,"['-', '-']"
6751,r018,Patents dependent variable -> SET,Population subset,Creative class (CC),p-value,3,-
6751,r019,Patents dependent variable -> SET,Population subset,At least 4-year college degree (BA),Coefficient estimate,3,"['-', '-']"
6751,r020,Patents dependent variable -> SET,Population subset,At least 4-year college degree (BA),p-value,3,-
6751,r021,Patents dependent variable -> CC,Population subset,Inventive class (IC),Coefficient estimate,3,"['-', '-']"
6751,r022,Patents dependent variable -> CC,Population subset,Inventive class (IC),p-value,3,-
6751,r023,Patents dependent variable -> CC,Population subset,"Science, engineering, and technical (SET) employment",Coefficient estimate,3,"['-', '-']"
6751,r024,Patents dependent variable -> CC,Population subset,"Science, engineering, and technical (SET) employment",p-value,3,-
6751,r025,Patents dependent variable -> CC,Population subset,Creative class (CC),Coefficient estimate,3,"['0.001 ', '-']"
6751,r026,Patents dependent variable -> CC,Population subset,Creative class (CC),p-value,3,0.964
6751,r027,Patents dependent variable -> CC,Population subset,At least 4-year college degree (BA),Coefficient estimate,3,"['-', '-']"
6751,r028,Patents dependent variable -> CC,Population subset,At least 4-year college degree (BA),p-value,3,-
6751,r029,Patents dependent variable -> BA,Population subset,Inventive class (IC),Coefficient estimate,3,"['-', '-']"
6751,r030,Patents dependent variable -> BA,Population subset,Inventive class (IC),p-value,3,-
6751,r031,Patents dependent variable -> BA,Population subset,"Science, engineering, and technical (SET) employment",Coefficient estimate,3,"['-', '-']"
