table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1441,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['NA', '&nbsp;']","['NA', '&nbsp;']","['1,049', '&nbsp;']","['542', '&nbsp;']","['672', 'i']","['528', 'i']","['501', 'i']","['758', 'i']","['848', ' ']"
1441,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['2,181', '&nbsp;']","['1,635', '&nbsp;']","['D', '&nbsp;']","['857', 'i']","['D', '&nbsp;']","['977', 'i']"
1441,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['290,680', '&nbsp;']","['282,505', '&nbsp;']","['279,289', '&nbsp;']","['290,240', '&nbsp;']","['302,759', '&nbsp;']","['323,107', '&nbsp;']","['340,539', '&nbsp;']","['355,671', '&nbsp;']","['374,685', ' ']"
1441,r074,All companies (number of domestic employees) -> Micro companies<sup>a</sup>,All companies (number of domestic employees),Micro companies<sup>a</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1441,r075,All companies (number of domestic employees) -> Micro companies<sup>a</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>a</sup>,5&#8211;9,,,3,–,"['NA', '&nbsp;']","['NA', '&nbsp;']","['3,614', '&nbsp;']","['4,060', '&nbsp;']","['2,926', 'i']","['3,390', 'i']","['3,314', 'i']","['2,983', 'i']","['1,581', 'i']"
1441,r076,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1441,r077,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['5,674', 'i']","['4,958', 'i']"
1441,r078,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['10,281', 'i']","['9,662', 'i']"
1441,r079,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1441,r080,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['9,351', '&nbsp;']","['13,277', '&nbsp;']","['8,781', '&nbsp;']","['9,295', '&nbsp;']","['9,100', 'i']","['8,939', '&nbsp;']","['10,130', 'i']","['11,538', '&nbsp;']","['9,298', ' ']"
1441,r081,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['14,662', '&nbsp;']","['12,791', '&nbsp;']","['11,631', '&nbsp;']","['12,303', '&nbsp;']","['12,454', '&nbsp;']","['13,704', '&nbsp;']","['13,606', '&nbsp;']","['13,586', '&nbsp;']","['14,875', ' ']"
1441,r082,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1441,r083,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['10,219', '&nbsp;']","['11,330', '&nbsp;']","['10,194', '&nbsp;']","['13,013', '&nbsp;']","['11,387', '&nbsp;']","['12,021', '&nbsp;']","['12,228', '&nbsp;']","['13,686', '&nbsp;']","['13,092', ' ']"
1441,r084,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['11,886', '&nbsp;']","['10,131', '&nbsp;']","['10,053', '&nbsp;']","['9,993', '&nbsp;']","['11,499', '&nbsp;']","['12,013', '&nbsp;']","['13,129', '&nbsp;']","['15,005', '&nbsp;']","['14,450', ' ']"
1441,r085,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['46,336', '&nbsp;']","['44,197', '&nbsp;']","['49,108', '&nbsp;']","['51,110', '&nbsp;']","['50,311', '&nbsp;']","['55,974', '&nbsp;']","['57,336', '&nbsp;']","['57,998', '&nbsp;']","['63,971', ' ']"
1441,r086,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['24,764', '&nbsp;']","['21,769', '&nbsp;']","['27,546', '&nbsp;']","['24,452', '&nbsp;']","['30,708', '&nbsp;']","['31,657', '&nbsp;']","['38,327', '&nbsp;']","['38,858', '&nbsp;']","['40,633', ' ']"
1441,r087,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['48,737', '&nbsp;']","['51,239', '&nbsp;']","['41,853', '&nbsp;']","['49,107', '&nbsp;']","['50,226', '&nbsp;']","['51,103', '&nbsp;']","['54,452', '&nbsp;']","['59,330', '&nbsp;']","['65,594', ' ']"
1441,r088,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['100,820', '&nbsp;']","['97,056', '&nbsp;']","['99,291', '&nbsp;']","['102,222', '&nbsp;']","['110,042', '&nbsp;']","['119,493', '&nbsp;']","['122,533', '&nbsp;']","['126,732', '&nbsp;']","['136,571', ' ']"
