table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_a_lot,field_somewhat,field_a_little,field_not_at_all
11568,r001,All companies,All companies,,,1,"['4,874,928', '&nbsp;']","['0.1', '&nbsp;']","['0.3', '&nbsp;']","['0.4', '&nbsp;']","['99.2', '&nbsp;']"
11568,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11568,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,734,191', '&nbsp;']","['0.1', '&nbsp;']","['0.4', '&nbsp;']","['0.4', '&nbsp;']","['99.1', '&nbsp;']"
11568,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['950,548', '&nbsp;']","['0.1', '&nbsp;']","['0.3', '&nbsp;']","['0.5', '&nbsp;']","['99.1', '&nbsp;']"
11568,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11568,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['577,397', '&nbsp;']","['0.1', '&nbsp;']","['0.4', '&nbsp;']","['0.4', '&nbsp;']","['99.1', '&nbsp;']"
11568,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['399,566', '&nbsp;']","['0.0', '&nbsp;']","['0.3', '&nbsp;']","['0.3', '&nbsp;']","['99.4', '&nbsp;']"
11568,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11568,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['115,591', '&nbsp;']","['0.1', '&nbsp;']","['0.4', '&nbsp;']","['0.4', '&nbsp;']","['99.1', '&nbsp;']"
11568,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['63,969', '&nbsp;']","['0.0', '&nbsp;']","['0.2', 'r']","['0.7', '&nbsp;']","['99.1', '&nbsp;']"
11568,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11568,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['18,124', '&nbsp;']","['0.0', '&nbsp;']","['0.5', 'r']","['0.2', '&nbsp;']","['99.3', '&nbsp;']"
11568,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['7,668', '&nbsp;']","['0.1', 'r']","['0.3', '&nbsp;']","['0.3', '&nbsp;']","['99.3', '&nbsp;']"
11568,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['6,010', '&nbsp;']","['0.3', '&nbsp;']","['0.4', '&nbsp;']","['0.8', '&nbsp;']","['98.4', '&nbsp;']"
11568,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['982', '&nbsp;']","['0.4', '&nbsp;']","['1.1', '&nbsp;']","['1.9', '&nbsp;']","['96.6', 'r']"
11568,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['516', '&nbsp;']","['0.8', '&nbsp;']","['3.1', '&nbsp;']","['1.5', '&nbsp;']","['94.6', '&nbsp;']"
11568,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['372', '&nbsp;']","['1.4', '&nbsp;']","['0.4', 'r']","['2.4', '&nbsp;']","['95.9', '&nbsp;']"
