table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_this_technology_was_too_expensive,field_the_technology_was_not_mature,field_lacked_access_to_required_data,field_required_data_not_reliable,field_lacked_access_to_required_human_capital_and_talent,field_laws_and_regulations,field_concerns_regarding_safety_and_security_physical_security_and_or_cybersecurity_,field_lacked_access_to_capital,field_technology_not_applicable_to_this_business,field_no_factors_adversely_affected_the_adoption_of_this_technology
5602,r001,All companies,All companies,,,1,"['    4,805,151 ', '&nbsp;']","['    5.7 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    1.2 ', '&nbsp;']","['    42.8 ', '&nbsp;']","['    48.0 ', '&nbsp;']"
5602,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5602,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['    2,667,724 ', '&nbsp;']","['    5.4 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    1.1 ', '&nbsp;']","['    44.9 ', '&nbsp;']","['    46.2 ', '&nbsp;']"
5602,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['    936,576 ', '&nbsp;']","['    6.4 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    1.3 ', '&nbsp;']","['    41.8 ', '&nbsp;']","['    48.3 ', '&nbsp;']"
5602,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5602,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['    579,513 ', '&nbsp;']","['    6.0 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    1.3 ', '&nbsp;']","['    39.7 ', '&nbsp;']","['    50.9 ', '&nbsp;']"
5602,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['    402,199 ', '&nbsp;']","['    5.6 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    1.3 ', '&nbsp;']","['    39.6 ', '&nbsp;']","['    51.8 ', '&nbsp;']"
5602,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5602,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['    119,497 ', '&nbsp;']","['    5.1 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.8 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    1.5 ', '&nbsp;']","['    36.6 ', '&nbsp;']","['    54.9 ', '&nbsp;']"
5602,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['    65,565 ', '&nbsp;']","['    4.3 ', '&nbsp;']","['    0.8 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.9 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    1.3 ', '&nbsp;']","['    36.2 ', '&nbsp;']","['    55.5 ', '&nbsp;']"
