table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field__,field_2016,field_2017,field_2018
2763,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['273,809', '  ']","['179,494', '&nbsp;']","['243,193', '&nbsp;']","['299,476', '&nbsp;']","['473,666', 'i']","['278,661', '&nbsp;']","['270,287', '&nbsp;']",212951,,"['264,935', '  ']","['231,673', '  ']","['262,008', '  ']"
2763,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['89,805', '  ']","['94,915', '&nbsp;']","['108,693', '&nbsp;']","['88,762', '&nbsp;']","['97,410', '&nbsp;']","['95,249', '&nbsp;']","['108,867', '&nbsp;']",92708,,"['91,399', '  ']","['92,324', '  ']","['128,125', '  ']"
2763,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['40,337', '  ']","['71,003', '&nbsp;']","['51,940', '&nbsp;']","['47,381', '&nbsp;']","['57,246', '&nbsp;']","['67,823', '&nbsp;']","['68,738', '&nbsp;']",72737,,"['58,476', '  ']","['74,274', '  ']","['83,309', '  ']"
2763,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing<sup>c</sup>",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing<sup>c</sup>",2,32541,"['582,910', '  ']","['438,687', '&nbsp;']","['471,763', '&nbsp;']","['577,607', '&nbsp;']","['594,394', '&nbsp;']","['577,930', '&nbsp;']","['569,968', '&nbsp;']",564398,,"['608,453', '  ']","['636,157', '  ']","['681,423', '  ']"
2763,r021,All business activities -> In vitro diagnostic substances manufacturing<sup>c</sup>,All business activities,In vitro diagnostic substances manufacturing<sup>c</sup>,2,32542,"['22,317', '  ']","['16,940', '&nbsp;']","['20,637', '&nbsp;']","['25,005', '&nbsp;']","['27,022', '&nbsp;']","['13,871', '&nbsp;']","['25,365', '&nbsp;']",14159,,"['7,892 - 171,885', '  ']","['15,915', '  ']","['17,051', '  ']"
2763,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances),2,32543,"['NA', '  ']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['40,409', '&nbsp;']","['56,454', '&nbsp;']",84437,,"['0 - 373,524', '  ']","['90,419', '  ']","['102,259', '  ']"
2763,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['142,212', '  ']","['151,565', '&nbsp;']","['167,258', '&nbsp;']","['170,417', '&nbsp;']","['166,942', '&nbsp;']","['185,266', '&nbsp;']","['196,651', '&nbsp;']",180201,,"['164,810', '  ']","['179,865', '  ']","['192,097', '  ']"
2763,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['113,118', '  ']","['104,308', '&nbsp;']","['103,452', '&nbsp;']","['120,242', '&nbsp;']","['128,998', '&nbsp;']","['113,108', '&nbsp;']","['128,730', '&nbsp;']",107146,,"['118,885', '  ']","['124,026', '  ']","['131,775', '  ']"
2763,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['162,401', '  ']","['161,057', '&nbsp;']","['193,471', '&nbsp;']","['243,447', '&nbsp;']","['265,623', '&nbsp;']","['219,020', '&nbsp;']","['241,780', '&nbsp;']",201164,,"['232,466', '  ']","['229,347', '  ']","['228,046', '  ']"
2763,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['36,417', '  ']","['27,803', '&nbsp;']","['37,853', '&nbsp;']","['34,184', '&nbsp;']","['36,960', '&nbsp;']","['39,365', '&nbsp;']","['34,863', '&nbsp;']",39676,,"['47,603', '  ']","['41,355', '  ']","['48,541', '  ']"
2763,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['48,680', '  ']","['35,530', '&nbsp;']","['31,789', '&nbsp;']","['32,864', '&nbsp;']","['40,193', '&nbsp;']","['42,592', '&nbsp;']","['35,322', '&nbsp;']",35377,,"['34,503', '  ']","['29,688', '  ']","['41,567', '  ']"
2763,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['NA', '  ']","['124,478', '&nbsp;']","['197,315', '&nbsp;']","['179,318', '&nbsp;']","['176,544', '&nbsp;']","['161,443', '&nbsp;']","['128,532', '&nbsp;']",103093,,"['121,321', '  ']","['100,279', '  ']","['158,601', '  ']"
2763,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['188,359', '  ']","['132,465', '&nbsp;']","['161,593', '&nbsp;']","['179,228', '&nbsp;']","['207,423', '&nbsp;']","['199,678', '&nbsp;']","['235,784', '&nbsp;']",194098,,"['165,184', '  ']","['175,986', '  ']","['204,748', '  ']"
2763,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['48,185', '  ']","['46,695', '&nbsp;']","['53,946', '&nbsp;']","['43,410', '&nbsp;']","['59,651', '&nbsp;']","['68,793', '&nbsp;']","['63,617', '&nbsp;']",53559,,"['51,776', '  ']","['60,038', '  ']","['67,226', '  ']"
2763,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['32,109', '  ']","['23,195', '&nbsp;']","['30,685', '&nbsp;']","['42,974', '&nbsp;']","['43,355', '&nbsp;']","['63,344', '&nbsp;']","['65,348', '&nbsp;']",56090,,"['49,267', '  ']","['60,563', '  ']","['74,103', '  ']"
2763,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['NA', '  ']","['69,074', '&nbsp;']","['75,563', '&nbsp;']","['101,549', '&nbsp;']","['110,356', '&nbsp;']","['84,384', '&nbsp;']","['76,466', '&nbsp;']",73725,,"['48,023', '  ']","['65,286', '  ']","['86,490', '  ']"
2763,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['20,019', '  ']","['10,505', '&nbsp;']","['21,588', '&nbsp;']","['25,960', '&nbsp;']","['9,973', '&nbsp;']","['24,420', '&nbsp;']","['27,333', '&nbsp;']",24653,,"['30,749', '  ']","['38,320', '  ']","['47,009', '  ']"
2763,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['26,984', '  ']","['21,368', '&nbsp;']","['30,723', '&nbsp;']","['44,666', '&nbsp;']","['42,619', '&nbsp;']","['39,357', '&nbsp;']","['51,615', '&nbsp;']",39189,,"['37,659', '  ']","['38,252', '  ']","['44,608', '  ']"
2763,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['NA', '  ']","['7,471', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['307', 'i']","['7,502', '&nbsp;']","['9,162', '&nbsp;']",8602,,"['6,775 - 170,768', '  ']","['6,849', '  ']","['9,492', '  ']"
2763,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['NA', '  ']","['49,546', '&nbsp;']","['76,811', '&nbsp;']","['73,896', '&nbsp;']","['90,814', '&nbsp;']","['97,984', '&nbsp;']","['111,674', '&nbsp;']",101920,,"['113,832', '  ']","['100,874', '  ']","['115,891', '  ']"
2763,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['NA', '  ']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['15', '&nbsp;']",,,"['5,579', 'i ']","['5,947', 'i ']","['2,086', '  ']"
2763,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['86,660', '  ']","['46,879', '&nbsp;']","['84,686', '&nbsp;']","['112,562', '&nbsp;']","['120,116', '&nbsp;']","['146,129', '&nbsp;']","['D', '&nbsp;']",85560,,"['87,887', '  ']","['106,205', 'i ']","['95,174', '  ']"
2763,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['90,067', '  ']","['66,350', '&nbsp;']","['95,017', '&nbsp;']","['112,947', '&nbsp;']","['125,495', '&nbsp;']","['105,487', '&nbsp;']","['149,607', '&nbsp;']",140673,,"['116,838', '  ']","['117,535', '  ']","['124,837', '  ']"
2763,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media<sup>d</sup>,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media<sup>d</sup>,2,33412,"['NA', '  ']","['273,429', '&nbsp;']","['330,020', '&nbsp;']","['342,416', '&nbsp;']","['304,309', '&nbsp;']","['307,523', '&nbsp;']","['297,193', '&nbsp;']",282890,,"['414,641', '  ']","['452,483', '  ']","['479,862', '  ']"
2763,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['48,816', '  ']","['66,123', '&nbsp;']","['87,159', '&nbsp;']","['64,811', '&nbsp;']","['64,652', '&nbsp;']","['75,886', '&nbsp;']","['72,421', '&nbsp;']",202399,i ,"['76,218', '  ']","['74,054', '  ']","['80,805', '  ']"
2763,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['76,167', '  ']","['64,808', '&nbsp;']","['79,675', '&nbsp;']","['92,884', '&nbsp;']","['136,470', '&nbsp;']","['148,680', '&nbsp;']","['168,774', 'i']",,,"['39,937 - 203,930', '  ']","['37,092', '  ']","['34,720', '  ']"
2763,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['17,976', '  ']","['13,324', '&nbsp;']","['12,856', '&nbsp;']","['21,004', '&nbsp;']","['15,949', '&nbsp;']","['23,299', '&nbsp;']","['14,548', '&nbsp;']",15997,,"['0 - 373,524', '  ']","['13,808', '  ']","['16,542', '  ']"
2763,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['13,212', '  ']","['15,041', '&nbsp;']","['22,242', '&nbsp;']","['11,476', '&nbsp;']","['17,926', '&nbsp;']","['19,596', '&nbsp;']","['18,333', '&nbsp;']",38954,i ,"['35,473', '  ']","['3,724 - 417,696', '  ']","['11,671', '  ']"
2763,r045,All business activities -> Semiconductor and other electronic components manufacturing,All business activities,Semiconductor and other electronic components manufacturing,2,33440,"['220,272', '  ']","['196,399', '&nbsp;']","['296,058', '&nbsp;']","['336,789', '&nbsp;']","['332,771', '&nbsp;']","['320,780', '&nbsp;']","['350,779', '&nbsp;']",,,"['323,512', '  ']","['373,892', '  ']","['399,809', '  ']"
2763,r046,"All business activities -> Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",All business activities,"Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",2,33451,"['41,395', '  ']","['27,437', '&nbsp;']","['29,041', '&nbsp;']","['38,560', '&nbsp;']","['39,590', '&nbsp;']","['43,130', '&nbsp;']","['43,537', '&nbsp;']",44739,,"['46,152', '  ']","['44,317', '  ']","['54,121', 'i ']"
2763,r047,"All business activities -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",All business activities,"Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",2,33452,"['38,474', '  ']","['55,866', '&nbsp;']","['68,907', '&nbsp;']","['47,701', '&nbsp;']","['63,724', '&nbsp;']","['66,326', '&nbsp;']","['67,154', '&nbsp;']",58670,,"['59,653', '  ']","['65,730', 'i ']","['71,425', '  ']"
2763,r048,All business activities -> Measuring and control instruments manufacturing (not listed elsewhere),All business activities,Measuring and control instruments manufacturing (not listed elsewhere),2,33459,"['57,989', '  ']","['78,228', '&nbsp;']","['88,305', '&nbsp;']","['84,368', '&nbsp;']","['99,774', '&nbsp;']","['97,153', '&nbsp;']","['102,909', '&nbsp;']",101098,,"['102,226', '  ']","['91,098', '  ']","['80,672', '  ']"
2763,r049,"All business activities -> Electrical equipment, appliances, and components manufacturing",All business activities,"Electrical equipment, appliances, and components manufacturing",2,33500,"['154,206', '  ']","['129,174', '&nbsp;']","['160,532', '&nbsp;']","['165,156', '&nbsp;']","['164,998', '&nbsp;']","['182,490', '&nbsp;']","['198,505', '&nbsp;']",195327,,"['213,284', '  ']","['185,233', '  ']","['189,130', '  ']"
2763,r050,All business activities -> Motor vehicles manufacturing,All business activities,Motor vehicles manufacturing,2,33610,"['521,541', '  ']","['399,125', '&nbsp;']","['476,726', '&nbsp;']","['539,595', '&nbsp;']","['541,730', '&nbsp;']","['615,136', '&nbsp;']","['539,139', '&nbsp;']",646110,,"['693,548', '  ']","['616,741', '  ']","['706,303', '  ']"
2763,r051,All business activities -> Motor vehicle body and trailer manufacturing,All business activities,Motor vehicle body and trailer manufacturing,2,33620,"['D', '  ']","['15,688', '&nbsp;']","['23,105', '&nbsp;']","['15,325', '&nbsp;']","['34,284', '&nbsp;']","['25,913', '&nbsp;']","['32,719', '&nbsp;']",23229,,"['63,232', '  ']","['20,086', '  ']","['26,379', '  ']"
2763,r052,All business activities -> Motor vehicle parts manufacturing,All business activities,Motor vehicle parts manufacturing,2,33630,"['163,993', '  ']","['126,638', '&nbsp;']","['242,201', '&nbsp;']","['224,450', '&nbsp;']","['228,418', '&nbsp;']","['269,022', '&nbsp;']","['379,492', '&nbsp;']",294414,,"['238,521', '  ']","['270,643', '  ']","['285,825', '  ']"
2763,r053,All business activities -> Aircraft manufacturing,All business activities,Aircraft manufacturing,2,33641,"['97,635', '  ']","['75,960', '&nbsp;']","['89,235', '&nbsp;']","['121,480', '&nbsp;']","['97,484', 'i']","['154,241', '&nbsp;']","['139,924', '&nbsp;']",148986,,"['136,497', '  ']","['128,861', '  ']","['190,552', '  ']"
2763,r054,All business activities -> Aircraft engine and engine parts manufacturing,All business activities,Aircraft engine and engine parts manufacturing,2,33642,"['42,829', '  ']","['37,086', '&nbsp;']","['34,925', '&nbsp;']","['42,514', '&nbsp;']","['40,376', '&nbsp;']","['54,024', '&nbsp;']","['48,134', '&nbsp;']",,,"['38,176', '  ']","['42,340', '  ']","['60,580', '  ']"
2763,r055,All business activities -> Other aircraft parts and auxiliary equipment manufacturing,All business activities,Other aircraft parts and auxiliary equipment manufacturing,2,33643,"['30,319', '  ']","['36,714', '&nbsp;']","['41,704', '&nbsp;']","['56,509', '&nbsp;']","['44,556', '&nbsp;']","['60,520', '&nbsp;']","['84,966', '&nbsp;']",97198,,"['85,111', '  ']","['103,682', '  ']","['67,859', '  ']"
2763,r056,"All business activities -> Guided missiles, space vehicles, and related parts manufacturing",All business activities,"Guided missiles, space vehicles, and related parts manufacturing",2,33644,"['D', '  ']","['51,326', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['16,554', '&nbsp;']","['17,200', '&nbsp;']","['30,237', '&nbsp;']",31776,,"['30,600', '  ']","['37,204', '  ']","['51,007', '  ']"
2763,r057,All business activities -> Railroad rolling stock manufacturing,All business activities,Railroad rolling stock manufacturing,2,33651,"['7,248', '  ']","['3,639', '&nbsp;']","['9,075', 'i']","['8,870', '&nbsp;']","['14,255', '&nbsp;']","['12,639', '&nbsp;']","['19,679', '&nbsp;']",19353,,"['14,852', '  ']","['13,416', '  ']","['14,083', '  ']"
2763,r058,All business activities -> Ship and boat building,All business activities,Ship and boat building,2,33660,"['16,461', '  ']","['37,439', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['23,966', 'i']","['16,927', 'i']","['39,049', '&nbsp;']",15426,,"['33,496 - 134,100', '  ']","['22,538', '  ']","['16,294', '  ']"
2763,r059,"All business activities -> Motorcycle, bicycle, and parts manufacturing",All business activities,"Motorcycle, bicycle, and parts manufacturing",2,33691,"['8,423', '  ']","['6,677', '&nbsp;']","['6,646', '&nbsp;']","['8,948', '&nbsp;']","['7,829', '&nbsp;']","['11,331', '&nbsp;']","['9,142', '&nbsp;']",9067,,"['9,507', '  ']","['9,107', '  ']","['11,412', '  ']"
2763,r060,"All business activities -> Military armored vehicle, tank, and tank components manufacturing",All business activities,"Military armored vehicle, tank, and tank components manufacturing",2,33692,"['13,341', '  ']","['10,136', '&nbsp;']","['D', '&nbsp;']","['6,239', '&nbsp;']","['4,893', '&nbsp;']","['4,354', 'i']","['7,502', '&nbsp;']",,,"['77 - 229,474', '  ']","['11,306', 'i ']","['18,531', 'i ']"
2763,r061,All business activities -> All other transportation equipment manufacturing,All business activities,All other transportation equipment manufacturing,2,33699,"['9,513', '  ']","['6,332', '&nbsp;']","['13,008', '&nbsp;']","['13,415', '&nbsp;']","['18,469', '&nbsp;']","['28,933', '&nbsp;']","['12,026', '&nbsp;']",14565,,"['14,435', '  ']","['14,658', '  ']","['21,079', '  ']"
2763,r062,All business activities -> Furniture and related products manufacturing,All business activities,Furniture and related products manufacturing,2,33700,"['43,401', '  ']","['35,821', '&nbsp;']","['37,487', '&nbsp;']","['39,031', '&nbsp;']","['43,719', '&nbsp;']","['41,407', '&nbsp;']","['45,760', '&nbsp;']",43530,,"['43,362', '  ']","['47,260', '  ']","['49,009', '  ']"
2763,r063,All business activities -> Medical equipment and supplies manufacturing,All business activities,Medical equipment and supplies manufacturing,2,33910,"['164,066', '  ']","['159,611', '&nbsp;']","['243,406', '&nbsp;']","['304,215', '&nbsp;']","['217,549', '&nbsp;']","['237,729', '&nbsp;']","['234,177', '&nbsp;']",235706,,"['244,748', '  ']","['250,637', '  ']","['271,160', '  ']"
2763,r064,"All business activities -> Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",All business activities,"Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",2,33990,"['122,669', '  ']","['114,088', '&nbsp;']","['101,526', '&nbsp;']","['D', '&nbsp;']","['118,660', '&nbsp;']","['140,793', '&nbsp;']","['134,415', '&nbsp;']",,,"['131,728', '  ']","['135,910', '  ']","['170,861', '  ']"
2763,r065,"All business activities -> Merchant wholesalers, durable goods",All business activities,"Merchant wholesalers, durable goods",2,42300,"['412,269', '  ']","['313,095', '&nbsp;']","['334,004', '&nbsp;']","['214,772', '&nbsp;']","['246,702', '&nbsp;']","['378,550', '&nbsp;']","['180,014', '&nbsp;']",260038,,"['221,852', '  ']","['165,345', '  ']","['248,170', '  ']"
2763,r066,"All business activities -> Merchant wholesalers, nondurable goods",All business activities,"Merchant wholesalers, nondurable goods",2,42400,"['340,956', '  ']","['273,118', '&nbsp;']","['280,982', '&nbsp;']","['496,309', '&nbsp;']","['587,019', '&nbsp;']","['571,742', '&nbsp;']","['698,182', '&nbsp;']",547921,,"['512,867', '  ']","['506,120', '  ']","['634,620', '  ']"
2763,r067,All business activities -> Wholesale electronic markets and agents and brokers (business to business),All business activities,Wholesale electronic markets and agents and brokers (business to business),2,42500,"['2,600', '  ']","['8,684', '&nbsp;']","['3,347', '&nbsp;']","['4,722', 'i']","['115,452', 'i']","['53,497', '&nbsp;']","['86,215', '&nbsp;']",41905,,"['60,197', '  ']","['50,155', '  ']","['5,490', '  ']"
2763,r068,All business activities -> Retail trade (except electronic shopping and electronic auctions),All business activities,Retail trade (except electronic shopping and electronic auctions),2,44000,"['NA', '  ']","['206,489', '&nbsp;']","['223,211', '&nbsp;']","['104,922', '&nbsp;']","['257,466', '&nbsp;']","['156,839', '&nbsp;']","['442,527', '&nbsp;']",210412,,"['296,019', '  ']","['322,049', '  ']","['538,965', '  ']"
2763,r069,All business activities -> Electronic shopping and electronic auctions,All business activities,Electronic shopping and electronic auctions,2,45411,"['NA', '  ']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['88,213', '&nbsp;']","['96,577', '&nbsp;']","['D', '&nbsp;']",130399,,"['110,617 - 274,610', '  ']","['198,755', '  ']","['191,588 - 272,515', 'i ']"
2763,r070,All business activities -> Transportation,All business activities,Transportation,2,48000,"['NA', '  ']","['D', '&nbsp;']","['182,535', '&nbsp;']","['109,842', '&nbsp;']","['139,615', '&nbsp;']","['95,821', '&nbsp;']","['117,267', '&nbsp;']",,,"['0 - 373,524', '  ']","['278,263', '  ']","['264,546', '  ']"
2763,r071,"All business activities -> Couriers, messengers, and express delivery services",All business activities,"Couriers, messengers, and express delivery services",2,49200,"['D', '  ']","['D', '&nbsp;']","['47,619', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['170,934', '&nbsp;']",,,"['187,345', '  ']","['136,436', '  ']","['91,333', '  ']"
2763,r072,All business activities -> Warehousing and storage,All business activities,Warehousing and storage,2,49300,"['31,235', '  ']","['1,536', '&nbsp;']","['24,457', '&nbsp;']","['22,885', '&nbsp;']","['3,983', '&nbsp;']","['13,530', '&nbsp;']","['2,585', '&nbsp;']",,,"['4,652', '  ']","['15,714', '  ']","['11,361', '  ']"
