table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_sent_one_form,field_sent_multiple_formsa
12255,r001,Total,Total,,,1,45000,100
12255,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,21000,100
12255,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,16000,100
12255,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,4700,0
12255,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,na,na
12255,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,na,na
12255,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,na,na
12255,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,24000,0
12255,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,6800,0
12255,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,17500,0
12255,r011,Total -> Cases not in the frame,Total,Cases not in the frame,,2,150,0
