table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1446,r077,All business activities -> Wired telecommunications carriers,All business activities,Wired telecommunications carriers,2,51710,"['D', '&nbsp;']","['D', '&nbsp;']","['1,214', '&nbsp;']","['6,862', '&nbsp;']","['7,093', '&nbsp;']","['865', '&nbsp;']","['2,852', '&nbsp;']","['2,667', '  ']","['2,665', '&nbsp;']"
1446,r078,All business activities -> Wireless telecommunications carriers (except satellite),All business activities,Wireless telecommunications carriers (except satellite),2,51720,"['1,085', '&nbsp;']","['745', '&nbsp;']","['6', '&nbsp;']","['171', '&nbsp;']","['154', 'i']","['D', '&nbsp;']","['45', '&nbsp;']","['D', '  ']","['59', '&nbsp;']"
1446,r079,All business activities -> Satellite telecommunications,All business activities,Satellite telecommunications,2,51740,"['5,325', '&nbsp;']","['5,919', 'i']","['176', '&nbsp;']","['353', 'i']","['234', '&nbsp;']","['D', '&nbsp;']","['63', '&nbsp;']","['587', '  ']","['305', '&nbsp;']"
1446,r080,All business activities -> Other telecommunications (not listed elsewhere),All business activities,Other telecommunications (not listed elsewhere),2,51790,"['1,230', '&nbsp;']","['1,015', '&nbsp;']","['515', '&nbsp;']","['2,875', '&nbsp;']","['3,193', 'i']","['2,179', '&nbsp;']","['534', '&nbsp;']","['893', '  ']","['840', '&nbsp;']"
1446,r081,"All business activities -> Data processing, hosting, and related services<sup>e</sup>",All business activities,"Data processing, hosting, and related services<sup>e</sup>",2,51800,"['NA', '&nbsp;']","['6,292', '&nbsp;']","['7,107', '&nbsp;']","['9,443', '&nbsp;']","['12,874', '&nbsp;']","['9,301', '&nbsp;']","['13,891', '&nbsp;']","['14,101', '  ']","['16,844', '&nbsp;']"
1446,r082,All business activities -> Cloud computing applications and Internet-based software services,All business activities,Cloud computing applications and Internet-based software services,2,51801,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['7,987', 'i']","['D', '&nbsp;']","['7,138', '  ']","['12,689', '&nbsp;']"
1446,r083,"All business activities -> Other information services, including Internet publishing, broadcasting, and Web search portals<sup>e</sup>",All business activities,"Other information services, including Internet publishing, broadcasting, and Web search portals<sup>e</sup>",2,51910,"['NA', '&nbsp;']","['13,753', '&nbsp;']","['29,921', '&nbsp;']","['11,126', '&nbsp;']","['16,969', '&nbsp;']","['28,521', '&nbsp;']","['44,849', 'i']","['40,718', '  ']","['37,791', '&nbsp;']"
1446,r084,All business activities -> Finance: banking and credit intermediation,All business activities,Finance: banking and credit intermediation,2,52200,"['NA', '&nbsp;']","['45,027', '&nbsp;']","['76,052', 'i']","['29,501', '&nbsp;']","['41,335', '&nbsp;']","['41,144', '&nbsp;']","['47,077', '&nbsp;']","['64,668', '  ']","['58,225', '&nbsp;']"
1446,r085,"All business activities -> Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",All business activities,"Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",2,52310,"['NA', '&nbsp;']","['D', '&nbsp;']","['34,345', '&nbsp;']","['35,268', '&nbsp;']","['16,671', '&nbsp;']","['23,114', '&nbsp;']","['19,687', '&nbsp;']","['15,087', 'i ']","['17,046', '&nbsp;']"
1446,r086,All business activities -> Insurance carriers and related activities,All business activities,Insurance carriers and related activities,2,52400,"['NA', '&nbsp;']","['11,594', '&nbsp;']","['16,234', '&nbsp;']","['14,985', '&nbsp;']","['8,907', '&nbsp;']","['34,172', 'i']","['32,407', 'i']","['21,780', 'i ']","['19,060', 'i']"
1446,r087,All business activities -> Real estate,All business activities,Real estate,2,53100,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['88', '  ']","['57', '&nbsp;']"
1446,r088,All business activities -> Rental and leasing services,All business activities,Rental and leasing services,2,53200,"['NA', '&nbsp;']","['D', '&nbsp;']","['8,580', 'i']","['5,232', 'i']","['7,232', '&nbsp;']","['8,873', '&nbsp;']","['6,656', '&nbsp;']","['5,390', '  ']","['6,699', '&nbsp;']"
1446,r089,"All business activities -> Lessors of nonfinancial intangible assets, including patent licensing",All business activities,"Lessors of nonfinancial intangible assets, including patent licensing",2,53300,"['D', '&nbsp;']","['352', '&nbsp;']","['225', '&nbsp;']","['359', '&nbsp;']","['764', '&nbsp;']","['640', '&nbsp;']","['517', '&nbsp;']","['168', '  ']","['82', '&nbsp;']"
1446,r090,"All business activities -> Legal, accounting, tax preparation, bookkeeping, and payroll services",All business activities,"Legal, accounting, tax preparation, bookkeeping, and payroll services",2,54111,"['NA', '&nbsp;']","['864', 'i']","['1,623', '&nbsp;']","['D', '&nbsp;']","['2,222', '&nbsp;']","['2,614', '&nbsp;']","['3,816', 'i']","['3,720', '  ']","['2,815', '&nbsp;']"
1446,r091,"All business activities -> Architectural, engineering, and related services",All business activities,"Architectural, engineering, and related services",2,54130,"['4,931', '&nbsp;']","['14,969', '&nbsp;']","['33,706', '&nbsp;']","['36,917', '&nbsp;']","['19,373', '&nbsp;']","['45,064', '&nbsp;']","['49,007', '&nbsp;']","['49,180', '  ']","['26,903', '&nbsp;']"
1446,r092,All business activities -> Specialized design services,All business activities,Specialized design services,2,54140,"['D', '&nbsp;']","['D', '&nbsp;']","['454', '&nbsp;']","['228', '&nbsp;']","['345', '&nbsp;']","['900', '&nbsp;']","['678', '&nbsp;']","['D', '  ']","['68', '&nbsp;']"
1446,r093,All business activities -> Computer systems design and related services<sup>e</sup>,All business activities,Computer systems design and related services<sup>e</sup>,2,54150,"['86,084', '&nbsp;']","['76,243', '&nbsp;']","['80,239', '&nbsp;']","['153,776', 'i']","['104,306', '&nbsp;']","['90,742', '&nbsp;']","['104,143', '&nbsp;']","['78,373', '  ']","['73,608', '&nbsp;']"
1446,r094,"All business activities -> Management, scientific, and technical consulting services",All business activities,"Management, scientific, and technical consulting services",2,54160,"['18,909', '&nbsp;']","['23,315', '&nbsp;']","['14,838', '&nbsp;']","['24,421', '&nbsp;']","['27,236', '&nbsp;']","['22,327', '&nbsp;']","['8,247', '&nbsp;']","['16,452', '  ']","['7,534', '&nbsp;']"
1446,r095,All business activities -> Research and development services in social sciences and humanities,All business activities,Research and development services in social sciences and humanities,2,54172,"['NA', '&nbsp;']","['2', '&nbsp;']","['2', '&nbsp;']","['7', '&nbsp;']","['D', '&nbsp;']","['4', '&nbsp;']","['22', '&nbsp;']","['D', '  ']","['7', '&nbsp;']"
1446,r096,All business activities -> Research and development services in biotechnology<sup>c</sup>,All business activities,Research and development services in biotechnology<sup>c</sup>,2,54173,"['NA', '&nbsp;']","['3,663', 'i']","['1,299', '&nbsp;']","['1,269', '&nbsp;']","['1,547', '&nbsp;']","['1,701', '&nbsp;']","['1,671', '&nbsp;']","['1,581', '  ']","['2,476', 'i']"
1446,r097,"All business activities -> Research and development services in physical, engineering, and life sciences (except biotechnology)",All business activities,"Research and development services in physical, engineering, and life sciences (except biotechnology)",2,54174,"['NA', '&nbsp;']","['3,817', '&nbsp;']","['2,994', '&nbsp;']","['4,352', '&nbsp;']","['5,625', '&nbsp;']","['4,814', '&nbsp;']","['5,253', '&nbsp;']","['5,194', '  ']","['7,255', '&nbsp;']"
1446,r098,All business activities -> Advertising and related services,All business activities,Advertising and related services,2,54180,"['D', '&nbsp;']","['D', '&nbsp;']","['1,656', '&nbsp;']","['D', '&nbsp;']","['25,263', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['D', '&nbsp;']"
1446,r099,"All business activities -> Professional, scientific, and technical services (not listed elsewhere)",All business activities,"Professional, scientific, and technical services (not listed elsewhere)",2,54190,"['3,456', '&nbsp;']","['2,025', '&nbsp;']","['2,186', '&nbsp;']","['4,901', '&nbsp;']","['9,285', '&nbsp;']","['8,417', '&nbsp;']","['8,004', '&nbsp;']","['2,749', '  ']","['1,533', '&nbsp;']"
1446,r100,All business activities -> Management of companies and enterprises,All business activities,Management of companies and enterprises,2,55100,"['76', '&nbsp;']","['23', '&nbsp;']","['266', '&nbsp;']","['5,428', '&nbsp;']","['1,304', '&nbsp;']","['887', '&nbsp;']","['716', '&nbsp;']","['D', '  ']","['622', '&nbsp;']"
1446,r101,All business activities -> Administrative and support services,All business activities,Administrative and support services,2,56100,"['NA', '&nbsp;']","['6,821', '&nbsp;']","['19,476', '&nbsp;']","['10,588', '&nbsp;']","['11,810', '&nbsp;']","['17,023', '&nbsp;']","['29,314', '&nbsp;']","['26,456', '  ']","['28,138', '&nbsp;']"
1446,r102,All business activities -> Waste management and remediation services,All business activities,Waste management and remediation services,2,56200,"['NA', '&nbsp;']","['D', '&nbsp;']","['201', '&nbsp;']","['959', '&nbsp;']","['484', '&nbsp;']","['595', '&nbsp;']","['614', '&nbsp;']","['1,827', '  ']","['1,908', '&nbsp;']"
1446,r103,All business activities -> Offices of physicians,All business activities,Offices of physicians,2,62110,"['0', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '  ']","['0', '&nbsp;']"
1446,r104,All business activities -> Medical and diagnostic laboratories,All business activities,Medical and diagnostic laboratories,2,62150,"['1,037', '&nbsp;']","['857', '&nbsp;']","['1,662', '&nbsp;']","['1,269', '&nbsp;']","['1,383', '&nbsp;']","['887', '&nbsp;']","['895', '&nbsp;']","['1,488', 'i ']","['1,896', 'i']"
1446,r105,"All business activities -> Other ambulatory health care services (ambulance, dental, home health care)",All business activities,"Other ambulatory health care services (ambulance, dental, home health care)",2,62199,"['NA', '&nbsp;']","['D', '&nbsp;']","['154', '&nbsp;']","['D', '&nbsp;']","['27', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '  ']","['0', '&nbsp;']"
1446,r106,All business activities -> Hospitals and nursing care facilities,All business activities,Hospitals and nursing care facilities,2,62200,"['NA', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['131', '  ']","['287', '&nbsp;']"
1446,r107,All business activities -> Social assistance services,All business activities,Social assistance services,2,62400,"['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['29', '&nbsp;']","['2', '&nbsp;']","['0', '  ']","['0', '&nbsp;']"
1446,r108,"All business activities -> Arts, entertainment, and recreation",All business activities,"Arts, entertainment, and recreation",2,71000,"['NA', '&nbsp;']","['3,074', '&nbsp;']","['3,169', '&nbsp;']","['3,297', '&nbsp;']","['3,096', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['2,540', '  ']","['2,916', '&nbsp;']"
1446,r109,All business activities -> Accommodation and food services,All business activities,Accommodation and food services,2,72000,"['NA', '&nbsp;']","['9,891', '&nbsp;']","['32,256', '&nbsp;']","['11,945', '&nbsp;']","['34,612', '&nbsp;']","['49,347', '&nbsp;']","['14,564', '&nbsp;']","['32,394', '  ']","['34,497', '&nbsp;']"
1446,r110,All business activities -> Other services (not listed elsewhere),All business activities,Other services (not listed elsewhere),2,81000,"['NA', '&nbsp;']","['5,946', '&nbsp;']","['7,784', '&nbsp;']","['10,816', '&nbsp;']","['12,789', '&nbsp;']","['21,571', '&nbsp;']","['17,416', '&nbsp;']","['19,528', '  ']","['64,699', '&nbsp;']"
1446,r111,All business activities -> Less: intersegment eliminations,All business activities,Less: intersegment eliminations,2,–,"['161,647', '&nbsp;']","['127,244', '&nbsp;']","['101,536', '&nbsp;']","['164,044', '&nbsp;']","['172,709', '&nbsp;']","['165,075', '&nbsp;']","['156,556', '&nbsp;']","['113,257', '  ']","['97,364', '&nbsp;']"
1446,r112,All business activities -> Undistributed,All business activities,Undistributed,2,–,"['335,723', '&nbsp;']","['452,404', '&nbsp;']","['103,862', '&nbsp;']","['147,756', 'i']","['58,997', 'i']","['D', ' ']","['2,657', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
