table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_all_companies,field_performed_manufacturing_tasks_for_unaffiliated_companies_or_companies_outside_the_united_states,field_did_not_perform_manufacturing_tasks_for_others
7486,r001,All companies,All companies,,,1,"['4,857,473', '&nbsp;']","['0.9', '&nbsp;']","['99.1', '&nbsp;']"
7486,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7486,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,701,088', '&nbsp;']","['0.6', '&nbsp;']","['99.4', '&nbsp;']"
7486,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['946,725', '&nbsp;']","['0.9', '&nbsp;']","['99.1', '&nbsp;']"
7486,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7486,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['590,193', '&nbsp;']","['1.2', '&nbsp;']","['98.8', '&nbsp;']"
7486,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['401,365', '&nbsp;']","['1.6', '&nbsp;']","['98.4', '&nbsp;']"
7486,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7486,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['118,677', '&nbsp;']","['2.4', '&nbsp;']","['97.6', '&nbsp;']"
7486,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['64,454', '&nbsp;']","['2.5', '&nbsp;']","['97.5', '&nbsp;']"
7486,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7486,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['19,208', '&nbsp;']","['3.0', '&nbsp;']","['97.0', '&nbsp;']"
7486,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['8,130', '&nbsp;']","['3.3', '&nbsp;']","['96.7', '&nbsp;']"
7486,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['6,023', '&nbsp;']","['5.8', '&nbsp;']","['94.2', '&nbsp;']"
7486,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['775', '&nbsp;']","['9.9', '&nbsp;']","['90.2', '&nbsp;']"
7486,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['496', '&nbsp;']","['12.9', '&nbsp;']","['87.1', '&nbsp;']"
7486,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['335', '&nbsp;']","['11.9', '&nbsp;']","['88.1', '&nbsp;']"
