table_id,row_id,_b_number_medical_school_status_highest_degree_granted_and_institutional_control_b_full_path,_b_number_medical_school_status_highest_degree_granted_and_institutional_control_b_level_1,_b_number_medical_school_status_highest_degree_granted_and_institutional_control_b_level_2,_b_number_medical_school_status_highest_degree_granted_and_institutional_control_b_level_3,_b_number_medical_school_status_highest_degree_granted_and_institutional_control_b_level_4,_b_number_medical_school_status_highest_degree_granted_and_institutional_control_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
5400,r001,All institutions,All institutions,,,,1,,,,,,,,,,,
5400,r002,All institutions -> Number of institutions with medical schools,All institutions,Number of institutions with medical schools,,,2,141,144,145,146,150,152,157,155,156,159,160
5400,r003,All institutions -> All R&D,All institutions,All R&D,,,2,40380697,42941206,43056379,44826210,46138811,47372130,49998145,52568534,55518140,60575121,62542523
5400,r004,All institutions -> All R&D -> Medical school R&D,All institutions,All R&D,Medical school R&D,,3,21437682,23215960,22885999,22716092,22867301,23550033,24764109,26282480,27849126,29927222,30804565
5400,r005,All institutions -> Doctorate,All institutions,Doctorate,,,2,,,,,,,,,,,
5400,r006,All institutions -> Doctorate -> Number of institutions with medical schools,All institutions,Doctorate,Number of institutions with medical schools,,3,131,130,135,137,140,142,144,144,147,152,154
5400,r007,All institutions -> Doctorate -> All R&D,All institutions,Doctorate,All R&D,,3,40333614,42835538,42957410,44780213,46085337,47326040,49910718,52496944,55461557,60524382,62493256
5400,r008,All institutions -> Doctorate -> All R&D -> Medical school R&D,All institutions,Doctorate,All R&D,Medical school R&D,4,21419712,23174106,22844442,22695488,22847813,23531182,24714792,26245661,27818938,29900070,30777939
5400,r009,All institutions -> Nondoctorate,All institutions,Nondoctorate,,,2,,,,,,,,,,,
5400,r010,All institutions -> Nondoctorate -> Number of institutions with medical schools,All institutions,Nondoctorate,Number of institutions with medical schools,,3,10,14,10,9,10,10,13,11,9,7,6
5400,r011,All institutions -> Nondoctorate -> All R&D,All institutions,Nondoctorate,All R&D,,3,47083,105668,98969,45997,53474,46090,87427,71590,56583,50739,49267
5400,r012,All institutions -> Nondoctorate -> All R&D -> Medical school R&D,All institutions,Nondoctorate,All R&D,Medical school R&D,4,17970,41854,41557,20604,19488,18851,49317,36819,30188,27152,26626
5400,r013,All institutions -> Public,All institutions,Public,,,2,,,,,,,,,,,
5400,r014,All institutions -> Public -> Number of institutions with medical schools,All institutions,Public,Number of institutions with medical schools,,3,83,84,85,86,89,91,94,94,94,99,100
5400,r015,All institutions -> Public -> All R&D,All institutions,Public,All R&D,,3,24313348,25927387,25938222,27210089,28237378,28969948,30292064,31838522,33691595,37359453,38662180
5400,r016,All institutions -> Public -> All R&D -> Medical school R&D,All institutions,Public,All R&D,Medical school R&D,4,11684912,12678932,12375216,12419947,12416501,12785042,13172552,13964235,15001469,16178180,16750471
5400,r017,All institutions -> Private,All institutions,Private,,,2,,,,,,,,,,,
5400,r018,All institutions -> Private -> Number of institutions with medical schools,All institutions,Private,Number of institutions with medical schools,,3,58,60,60,60,61,61,63,61,62,60,60
5400,r019,All institutions -> Private -> All R&D,All institutions,Private,All R&D,,3,16067349,17013819,17118157,17616121,17901433,18402182,19706081,20730012,21826545,23215668,23880343
5400,r020,All institutions -> Private -> All R&D -> Medical school R&D,All institutions,Private,All R&D,Medical school R&D,4,9752770,10537028,10510783,10296145,10450800,10764991,11591557,12318245,12847657,13749042,14054094
