table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
12342,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['290,680', '&nbsp;']","['282,505', '&nbsp;']","['279,289', '&nbsp;']","['290,240', '&nbsp;']","['302,759', '&nbsp;']","['323,107', '&nbsp;']","['340,539', '&nbsp;']","['355,671', '&nbsp;']","['378,590', '  ']","['396,979', '  ']","['443,633', '&nbsp;']","['491,434', '&nbsp;']","['538,870', '  ']","['608,429', '  ']","['691,547', '  ']"
12342,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['203,755', '&nbsp;']","['196,441', '&nbsp;']","['199,147', '&nbsp;']","['202,363', '&nbsp;']","['208,577', '&nbsp;']","['222,718', '&nbsp;']","['231,705', '&nbsp;']","['236,170', '&nbsp;']","['249,999', '  ']","['255,602', '  ']","['274,315', '&nbsp;']","['284,673', '&nbsp;']","['309,021', '  ']","['333,362', '  ']","['372,459', '  ']"
12342,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['2,100', '&nbsp;']","['4,099', '&nbsp;']","['D', '&nbsp;']","['4,393', '&nbsp;']","['4,087', '&nbsp;']","['5,021', '&nbsp;']","['4,854', 'i']","['4,828', '&nbsp;']","['4,830', '  ']","['4,588', '  ']","['4,595', '&nbsp;']","['4,179', '&nbsp;']","['5,234 - 5,245', '  ']","['5,152', '  ']","['7,143', '  ']"
12342,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['780', '&nbsp;']","['477', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['827', '&nbsp;']","['920', '&nbsp;']","['1,006', '&nbsp;']","['1,076 - 1,099', '  ']","['1,098', '  ']","['1,113', '&nbsp;']","['1,082', '&nbsp;']","['1,169', '  ']","['1,247', '  ']","['767', '  ']"
12342,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['815', '&nbsp;']","['439', '&nbsp;']","['482', '&nbsp;']","['608', '&nbsp;']","['553', '&nbsp;']","['662', '&nbsp;']","['631', '&nbsp;']","['748', '&nbsp;']","['1,166', 'i ']","['959', '  ']","['1,005', '&nbsp;']","['903', '&nbsp;']","['822', '  ']","['630', '  ']","['635', '  ']"
12342,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['273', '&nbsp;']","['280', '&nbsp;']","['252', '&nbsp;']","['211', '&nbsp;']","['280', '&nbsp;']","['220', '&nbsp;']","['336', 'i']","['195', '&nbsp;']","['166 - 204', '  ']","['173', '  ']","['203', '&nbsp;']","['186', '&nbsp;']","['185 - 192', '  ']","['444', '  ']","['259', '  ']"
12342,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['NA', '&nbsp;']","['NA', '&nbsp;']","['1,341', '&nbsp;']","['676', '&nbsp;']","['752', '&nbsp;']","['920', '&nbsp;']","['723', '&nbsp;']","['766', '&nbsp;']","['854', '  ']","['1,327', '  ']","['933', '&nbsp;']","['1,059', '&nbsp;']","['928', '  ']","['1,139', '  ']","['1,005', '  ']"
12342,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['349', '&nbsp;']","['210', '&nbsp;']","['231', '&nbsp;']","['181', '&nbsp;']","['256', 'i']","['252', 'i']","['234', '&nbsp;']","['196', 'i']","['219', 'i ']","['231', '  ']","['242', '&nbsp;']","['412', 'i']","['287', '  ']","['194', 'i ']","['165', '  ']"
12342,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['888', '&nbsp;']","['281', '&nbsp;']","['234', '&nbsp;']","['214', '&nbsp;']","['268', '  ']","['324', '  ']","['1,269', '&nbsp;']","['1,306', '&nbsp;']","['0 - 2,641', '  ']","['957', '  ']","['860', '  ']"
12342,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['58,250', '&nbsp;']","['54,753', '&nbsp;']","['58,343', '&nbsp;']","['55,853', '&nbsp;']","['56,748', '&nbsp;']","['62,086', '&nbsp;']","['66,134', '&nbsp;']","['68,032', '&nbsp;']","['71,803', '  ']","['75,733', '  ']","['84,367', '&nbsp;']","['97,180', '&nbsp;']","['101,359', '  ']","['112,806', '  ']","['125,728', '  ']"
