table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
9930,r001,United States<sup>a</sup>,United States<sup>a</sup>,,1,1059104585,1161477543,NA,1616483243,1756297891,1990338324,2042260292,2028219263,1905585762,2265232945,2314376833,2467761297,2530723104,2412042977,2444115617,2513233468,2643991142
9930,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,2,7269319,9065725,NA,12929167,15113917,19684063,17352984,13292741,18532534,24486963,24798503,25768709,21652816,19763230,25695555,29812345,88219991
9930,r003,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,2,10019060,9526100,NA,7741467,9274800,11349400,5467944,6689384,12031675,11258203,10072650,9198095,10811808,12502109,15193507,19671388,17157228
9930,r004,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,2,37151471,20442635,NA,9363943,17682315,18626577,22809895,27810970,18820149,14942124,15679948,14008740,12937292,17332044,16010502,15011508,7946421
9930,r005,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,2,4869648,7658199,NA,11465214,14446084,14705327,15518374,16518947,14994903,16642711,17242823,15891579,16325049,21098863,19921168,9908767,9759708
9930,r006,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,2,145880736,120641324,NA,299929949,328982383,407616001,401522758,346942036,356158885,568971595,547188835,485647081,633060621,526918585,533900597,520234299,490081806
9930,r007,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,2,8997236,11924981,NA,14849581,20828274,18141931,14928809,14471683,15745589,16321056,16647592,25575648,30640420,36586577,34365638,38436248,38058349
9930,r008,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,2,19209064,29285710,NA,28559052,40065786,39192091,40017523,41023368,47405244,55816528,49460236,55586487,54492430,57241037,58810853,55050702,60578799
9930,r009,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,2,2812102,2611108,NA,1683562,2389720,2609902,4635720,4729141,2243868,2199635,2694787,3267034,3856775,3826318,3598156,3338773,3446375
9930,r010,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,2,1173076,2009000,NA,487411,696198,1221108,2018447,1848800,3136271,3216073,4059615,3724444,4632564,4222412,5860668,8128666,10560754
9930,r011,United States<sup>a</sup> -> Florida,United States<sup>a</sup>,Florida,2,42329624,51968573,NA,66513756,120848726,150764438,136706540,118781266,157004903,191598669,156057854,201901742,186499418,170508724,184600202,178360429,180145644
9930,r012,United States<sup>a</sup> -> Georgia,United States<sup>a</sup>,Georgia,2,10620188,4886946,NA,6662887,8923795,11690663,12820412,12697846,11776221,10052848,13093428,14043200,18120602,18875484,15877238,18798826,24988379
9930,r013,United States<sup>a</sup> -> Hawaii,United States<sup>a</sup>,Hawaii,2,12067849,22643330,NA,13976364,14233186,13103983,11145520,13094794,13125455,11520961,18032316,11414756,12981754,7325591,11122545,10315823,6337851
9930,r014,United States<sup>a</sup> -> Idaho,United States<sup>a</sup>,Idaho,2,2280873,2739006,NA,8552058,9059568,9366052,11785529,12929174,12862935,12935976,14501235,15029122,15690791,17828263,21882976,18210054,20444262
9930,r015,United States<sup>a</sup> -> Illinois,United States<sup>a</sup>,Illinois,2,37184281,28372676,NA,9570893,16553689,17207125,17859438,17999229,24988306,30817406,19774448,18582210,17501801,17548556,16055917,16213542,16463839
9930,r016,United States<sup>a</sup> -> Indiana,United States<sup>a</sup>,Indiana,2,6220575,40534381,NA,47549928,8444832,6983364,7667988,10167120,23590723,9987058,13279466,16966067,19814418,12357151,9591408,10485205,12104856
9930,r017,United States<sup>a</sup> -> Iowa,United States<sup>a</sup>,Iowa,2,13564062,6790053,NA,37976643,12950176,36992222,16147249,19365308,10357010,11277534,12296647,9343267,9710381,9386675,11877131,10579028,10636720
9930,r018,United States<sup>a</sup> -> Kansas,United States<sup>a</sup>,Kansas,2,14348384,11752696,NA,12305385,6509225,6635626,6160680,5708223,5326455,6462317,7385081,10358152,14274887,12355458,13152904,15002554,17633236
9930,r019,United States<sup>a</sup> -> Kentucky,United States<sup>a</sup>,Kentucky,2,17558997,11960634,NA,13938134,20410096,20498849,19886257,19751055,14556867,25794534,30660613,30443216,22452966,26668173,26782125,29737068,34881537
9930,r020,United States<sup>a</sup> -> Louisiana,United States<sup>a</sup>,Louisiana,2,11216568,6587314,NA,8285478,9165144,14979079,18143396,15713110,18778159,32175199,27268166,41455247,37057152,35142225,31965852,32115461,31843839
9930,r021,United States<sup>a</sup> -> Maine,United States<sup>a</sup>,Maine,2,17509051,27525552,NA,6400019,8847471,9918765,7094736,6109793,6857948,12609815,11429706,22652044,15991134,32592625,29035990,32392463,24812470
9930,r022,United States<sup>a</sup> -> Maryland,United States<sup>a</sup>,Maryland,2,24945119,40298691,NA,21093331,22825402,20084540,21890225,29467445,29981260,24852978,26447700,29520356,30959732,29107768,33407022,28212493,31280581
9930,r023,United States<sup>a</sup> -> Massachusetts,United States<sup>a</sup>,Massachusetts,2,10729419,5600189,NA,3290198,4884430,4878927,3918500,4590424,18259928,22664539,23432991,27737023,23000903,31965439,31700411,23307621,26616423
9930,r024,United States<sup>a</sup> -> Michigan,United States<sup>a</sup>,Michigan,2,75016589,32849159,NA,8630209,9469440,9802873,12557954,12830423,12252555,12675635,17120981,16946986,7689982,8023318,11191816,29718391,30525914
9930,r025,United States<sup>a</sup> -> Minnesota,United States<sup>a</sup>,Minnesota,2,6219201,10529048,NA,16655913,12212546,11653327,11524686,14855954,19378825,21455746,22861457,18344346,18502324,20150907,20511698,22483420,25093959
9930,r026,United States<sup>a</sup> -> Mississippi,United States<sup>a</sup>,Mississippi,2,2744882,7343892,NA,3623953,7168109,7420851,6260080,4863312,1313376,780616,2339335,4269574,9205489,12170278,10268396,11143362,9788541
9930,r027,United States<sup>a</sup> -> Missouri,United States<sup>a</sup>,Missouri,2,18465303,15567277,NA,15797247,13329841,13658961,13041450,13051110,15065613,16673693,14750488,15064354,16341267,15055845,14826364,14009154,12430684
9930,r028,United States<sup>a</sup> -> Montana,United States<sup>a</sup>,Montana,2,8606319,8200230,NA,7200442,7543860,6474190,6841897,6570018,10428010,10362726,17990469,18230275,8867208,8794140,13131022,8447295,9752216
