table_id,row_id,fine_field_of_study_full_path,fine_field_of_study_level_1,fine_field_of_study_level_2,fine_field_of_study_level_3,fine_field_of_study_level_4,fine_field_of_study_level_5,fine_field_of_study_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
951,r001,All fields,All fields,,,,,1,48777,49552,48029,48911,50944,52704,53992,54901,54862,54664
951,r002,All fields -> Life sciences,All fields,Life sciences,,,,2,11086,11403,11319,11535,11964,12208,12484,12499,12554,12592
951,r003,All fields -> Life sciences -> Agricultural sciences and natural resources,All fields,Life sciences,Agricultural sciences and natural resources,,,3,1198,1283,1100,1206,1255,1324,1338,1434,1381,1606
951,r004,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural economics ,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural economics ,,4,111,116,118,106,88,107,96,101,113,144
951,r005,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural and horticultural plant breeding ,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural and horticultural plant breeding ,,4,28,24,31,23,31,21,39,43,61,54
951,r006,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural animal breeding ,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural animal breeding ,,4,3,12,7,7,6,8,na,na,na,na
951,r007,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agronomy and crop science ,All fields,Life sciences,Agricultural sciences and natural resources,Agronomy and crop science ,,4,68,77,69,54,73,86,80,81,82,102
951,r008,All fields -> Life sciences -> Agricultural sciences and natural resources -> Animal nutrition ,All fields,Life sciences,Agricultural sciences and natural resources,Animal nutrition ,,4,41,34,34,48,57,54,50,40,42,27
951,r009,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Animal science, poultry or avian ",All fields,Life sciences,Agricultural sciences and natural resources,"Animal science, poultry or avian ",,4,18,17,12,25,22,23,25,31,21,24
951,r010,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Animal sciences, other ",All fields,Life sciences,Agricultural sciences and natural resources,"Animal sciences, other ",,4,77,74,54,69,75,85,103,90,83,105
951,r011,All fields -> Life sciences -> Agricultural sciences and natural resources -> Environmental science ,All fields,Life sciences,Agricultural sciences and natural resources,Environmental science ,,4,182,201,155,195,182,204,213,182,193,222
951,r012,All fields -> Life sciences -> Agricultural sciences and natural resources -> Fishing and fisheries sciences and management ,All fields,Life sciences,Agricultural sciences and natural resources,Fishing and fisheries sciences and management ,,4,52,67,34,59,51,53,52,60,47,69
951,r013,All fields -> Life sciences -> Agricultural sciences and natural resources -> Food science ,All fields,Life sciences,Agricultural sciences and natural resources,Food science ,,4,96,110,100,73,108,105,93,125,123,125
951,r014,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Food science and technology, other ",All fields,Life sciences,Agricultural sciences and natural resources,"Food science and technology, other ",,4,41,30,37,39,35,48,39,47,40,52
951,r015,All fields -> Life sciences -> Agricultural sciences and natural resources -> Forest sciences and biology ,All fields,Life sciences,Agricultural sciences and natural resources,Forest sciences and biology ,,4,32,43,23,26,25,19,22,37,15,89
951,r016,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Forest management, forest resources management ",All fields,Life sciences,Agricultural sciences and natural resources,"Forest management, forest resources management ",,4,44,52,41,34,29,44,28,36,35,26
951,r017,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Forestry, other ",All fields,Life sciences,Agricultural sciences and natural resources,"Forestry, other ",,4,17,26,17,35,29,26,20,22,29,38
951,r018,All fields -> Life sciences -> Agricultural sciences and natural resources -> Horticulture science ,All fields,Life sciences,Agricultural sciences and natural resources,Horticulture science ,,4,50,55,42,48,40,41,51,50,32,42
951,r019,All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resource and environmental policy ,All fields,Life sciences,Agricultural sciences and natural resources,Natural resource and environmental policy ,,4,na,na,na,na,na,na,35,56,68,54
951,r020,All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation ,All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation ,,4,78,84,88,100,99,92,70,87,72,63
951,r021,All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and environmental economics (agricultural sciences) ,All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and environmental economics (agricultural sciences) ,,4,na,na,na,na,31,22,28,39,23,26
951,r022,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Plant pathology and phytopathology, agricultural ",All fields,Life sciences,Agricultural sciences and natural resources,"Plant pathology and phytopathology, agricultural ",,4,59,61,56,53,71,74,74,57,73,108
951,r023,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Plant sciences, other ",All fields,Life sciences,Agricultural sciences and natural resources,"Plant sciences, other ",,4,39,60,49,51,77,67,78,95,52,62
951,r024,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Soil chemistry, microbiology ",All fields,Life sciences,Agricultural sciences and natural resources,"Soil chemistry, microbiology ",,4,25,18,20,34,15,16,20,17,23,43
951,r025,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Soil sciences, other ",All fields,Life sciences,Agricultural sciences and natural resources,"Soil sciences, other ",,4,67,49,39,39,37,51,45,54,38,52
951,r026,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Wildlife, range management ",All fields,Life sciences,Agricultural sciences and natural resources,"Wildlife, range management ",,4,55,34,48,50,39,41,29,32,14,19
951,r027,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Wood science, pulp and paper technology ",All fields,Life sciences,Agricultural sciences and natural resources,"Wood science, pulp and paper technology ",,4,2,17,8,15,16,8,4,15,8,12
951,r028,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences and natural resources, general<sup>a</sup>",All fields,Life sciences,Agricultural sciences and natural resources,"Agricultural sciences and natural resources, general<sup>a</sup>",,4,8,8,2,9,8,9,25,21,73,34
951,r029,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences and natural resources, other<sup>b</sup>",All fields,Life sciences,Agricultural sciences and natural resources,"Agricultural sciences and natural resources, other<sup>b</sup>",,4,5,14,16,14,11,20,19,16,21,14
951,r030,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,,,3,7797,8025,8046,8152,8322,8355,8868,8788,8873,8477
951,r031,All fields -> Life sciences -> Biological and biomedical sciences -> Anatomy,All fields,Life sciences,Biological and biomedical sciences,Anatomy,,4,25,15,25,25,23,15,15,24,21,9
951,r032,All fields -> Life sciences -> Biological and biomedical sciences -> Bacteriology,All fields,Life sciences,Biological and biomedical sciences,Bacteriology,,4,22,20,24,22,23,28,25,22,18,13
951,r033,All fields -> Life sciences -> Biological and biomedical sciences -> Biochemistry (biological sciences),All fields,Life sciences,Biological and biomedical sciences,Biochemistry (biological sciences),,4,899,858,861,867,847,827,820,749,832,815
951,r034,All fields -> Life sciences -> Biological and biomedical sciences -> Bioinformatics,All fields,Life sciences,Biological and biomedical sciences,Bioinformatics,,4,147,175,123,140,145,166,183,174,194,183
951,r035,All fields -> Life sciences -> Biological and biomedical sciences -> Biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,Biomedical sciences,,4,268,300,287,311,366,401,438,417,330,341
951,r036,All fields -> Life sciences -> Biological and biomedical sciences -> Biometrics and biostatistics,All fields,Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,,4,122,115,127,137,174,145,165,171,198,216
951,r037,All fields -> Life sciences -> Biological and biomedical sciences -> Biophysics (biological sciences),All fields,Life sciences,Biological and biomedical sciences,Biophysics (biological sciences),,4,167,195,171,192,193,179,186,181,165,208
951,r038,All fields -> Life sciences -> Biological and biomedical sciences -> Biotechnology,All fields,Life sciences,Biological and biomedical sciences,Biotechnology,,4,32,26,22,33,54,39,45,38,36,33
951,r039,All fields -> Life sciences -> Biological and biomedical sciences -> Botany and plant biology,All fields,Life sciences,Biological and biomedical sciences,Botany and plant biology,,4,105,113,110,110,110,91,93,97,112,100
951,r040,All fields -> Life sciences -> Biological and biomedical sciences -> Cancer biology,All fields,Life sciences,Biological and biomedical sciences,Cancer biology,,4,289,273,300,396,381,379,455,454,437,364
951,r041,"All fields -> Life sciences -> Biological and biomedical sciences -> Cell, cellular biology, and histology",All fields,Life sciences,Biological and biomedical sciences,"Cell, cellular biology, and histology",,4,376,354,361,379,376,318,335,321,259,234
951,r042,All fields -> Life sciences -> Biological and biomedical sciences -> Computational biology,All fields,Life sciences,Biological and biomedical sciences,Computational biology,,4,na,na,69,65,94,115,117,107,134,147
951,r043,All fields -> Life sciences -> Biological and biomedical sciences -> Developmental biology and embryology,All fields,Life sciences,Biological and biomedical sciences,Developmental biology and embryology,,4,185,185,193,205,174,197,198,187,162,130
951,r044,All fields -> Life sciences -> Biological and biomedical sciences -> Ecology,All fields,Life sciences,Biological and biomedical sciences,Ecology,,4,439,456,431,404,415,468,449,453,482,432
951,r045,All fields -> Life sciences -> Biological and biomedical sciences -> Endocrinology,All fields,Life sciences,Biological and biomedical sciences,Endocrinology,,4,22,33,23,32,26,39,26,22,11,21
951,r046,All fields -> Life sciences -> Biological and biomedical sciences -> Entomology,All fields,Life sciences,Biological and biomedical sciences,Entomology,,4,119,131,122,113,120,118,112,109,127,129
951,r047,All fields -> Life sciences -> Biological and biomedical sciences -> Environmental toxicology<sup>c</sup>,All fields,Life sciences,Biological and biomedical sciences,Environmental toxicology<sup>c</sup>,,4,na,na,39,30,45,33,49,35,45,64
951,r048,All fields -> Life sciences -> Biological and biomedical sciences -> Epidemiology<sup>d</sup>,All fields,Life sciences,Biological and biomedical sciences,Epidemiology<sup>d</sup>,,4,na,na,na,na,na,na,292,378,343,351
951,r049,All fields -> Life sciences -> Biological and biomedical sciences -> Evolutionary biology,All fields,Life sciences,Biological and biomedical sciences,Evolutionary biology,,4,178,215,214,213,203,209,215,210,200,224
951,r050,"All fields -> Life sciences -> Biological and biomedical sciences -> Genetics, genomics, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Genetics, genomics, human and animal",,4,413,364,383,374,334,396,401,359,339,345
951,r051,All fields -> Life sciences -> Biological and biomedical sciences -> Immunology,All fields,Life sciences,Biological and biomedical sciences,Immunology,,4,424,434,452,449,455,471,456,471,399,401
951,r052,All fields -> Life sciences -> Biological and biomedical sciences -> Microbiology,All fields,Life sciences,Biological and biomedical sciences,Microbiology,,4,538,586,490,462,451,455,463,480,466,410
951,r053,All fields -> Life sciences -> Biological and biomedical sciences -> Molecular biology,All fields,Life sciences,Biological and biomedical sciences,Molecular biology,,4,786,763,697,716,620,646,670,632,549,624
951,r054,All fields -> Life sciences -> Biological and biomedical sciences -> Molecular medicine ,All fields,Life sciences,Biological and biomedical sciences,Molecular medicine ,,4,na,na,na,na,na,na,na,na,25,67
951,r055,"All fields -> Life sciences -> Biological and biomedical sciences -> Neurosciences, neurobiology<sup>e</sup>",All fields,Life sciences,Biological and biomedical sciences,"Neurosciences, neurobiology<sup>e</sup>",,4,883,983,954,958,1053,1016,1048,1091,997,985
951,r056,All fields -> Life sciences -> Biological and biomedical sciences -> Nutrition sciences,All fields,Life sciences,Biological and biomedical sciences,Nutrition sciences,,4,176,174,180,163,183,177,175,184,204,215
951,r057,All fields -> Life sciences -> Biological and biomedical sciences -> Parasitology,All fields,Life sciences,Biological and biomedical sciences,Parasitology,,4,23,24,37,26,29,26,26,31,20,16
951,r058,"All fields -> Life sciences -> Biological and biomedical sciences -> Pathology, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Pathology, human and animal",,4,105,106,79,83,95,95,99,88,49,69
951,r059,"All fields -> Life sciences -> Biological and biomedical sciences -> Pharmacology, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Pharmacology, human and animal",,4,281,343,290,301,308,286,292,243,208,236
951,r060,"All fields -> Life sciences -> Biological and biomedical sciences -> Physiology, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Physiology, human and animal",,4,241,244,258,226,254,210,208,210,166,165
951,r061,All fields -> Life sciences -> Biological and biomedical sciences -> Plant genetics,All fields,Life sciences,Biological and biomedical sciences,Plant genetics,,4,47,48,52,45,41,37,48,57,67,49
951,r062,All fields -> Life sciences -> Biological and biomedical sciences -> Plant pathology and phytopathology (biological sciences) ,All fields,Life sciences,Biological and biomedical sciences,Plant pathology and phytopathology (biological sciences) ,,4,29,26,19,18,25,21,29,20,13,11
951,r063,All fields -> Life sciences -> Biological and biomedical sciences -> Plant physiology,All fields,Life sciences,Biological and biomedical sciences,Plant physiology,,4,26,13,28,15,19,25,17,18,13,16
951,r064,All fields -> Life sciences -> Biological and biomedical sciences -> Structural biology,All fields,Life sciences,Biological and biomedical sciences,Structural biology,,4,na,na,53,71,57,67,59,64,47,55
951,r065,All fields -> Life sciences -> Biological and biomedical sciences -> Toxicology,All fields,Life sciences,Biological and biomedical sciences,Toxicology,,4,137,120,99,96,101,99,117,104,85,81
951,r066,All fields -> Life sciences -> Biological and biomedical sciences -> Virology,All fields,Life sciences,Biological and biomedical sciences,Virology,,4,na,na,134,178,162,162,163,164,142,109
951,r067,All fields -> Life sciences -> Biological and biomedical sciences -> Wildlife biology,All fields,Life sciences,Biological and biomedical sciences,Wildlife biology,,4,na,na,na,na,na,na,36,47,47,62
951,r068,All fields -> Life sciences -> Biological and biomedical sciences -> Zoology,All fields,Life sciences,Biological and biomedical sciences,Zoology,,4,61,79,72,65,51,40,32,46,38,44
951,r069,"All fields -> Life sciences -> Biological and biomedical sciences -> Biological and biomedical sciences, general",All fields,Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, general",,4,150,173,184,168,223,256,245,258,770,391
951,r070,"All fields -> Life sciences -> Biological and biomedical sciences -> Biological and biomedical sciences, other",All fields,Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, other",,4,82,81,83,64,92,103,66,72,123,112
951,r071,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,,,3,2091,2095,2173,2177,2387,2529,2278,2277,2300,2509
951,r072,All fields -> Life sciences -> Health sciences -> Environmental health,All fields,Life sciences,Health sciences,Environmental health,,4,69,42,66,56,67,70,77,79,76,84
951,r073,All fields -> Life sciences -> Health sciences -> Environmental toxicology<sup>c</sup>,All fields,Life sciences,Health sciences,Environmental toxicology<sup>c</sup>,,4,43,37,na,na,na,na,na,na,na,na
951,r074,All fields -> Life sciences -> Health sciences -> Epidemiology<sup>d</sup>,All fields,Life sciences,Health sciences,Epidemiology<sup>d</sup>,,4,305,273,324,314,365,353,na,na,na,na
951,r075,All fields -> Life sciences -> Health sciences -> Gerontology (health sciences),All fields,Life sciences,Health sciences,Gerontology (health sciences),,4,na,na,10,15,14,13,14,13,25,22
951,r076,All fields -> Life sciences -> Health sciences -> Health and behavior,All fields,Life sciences,Health sciences,Health and behavior,,4,na,na,na,na,na,na,88,125,119,82
951,r077,All fields -> Life sciences -> Health sciences -> Health services research,All fields,Life sciences,Health sciences,Health services research,,4,na,na,na,na,na,na,na,na,120,164
951,r078,All fields -> Life sciences -> Health sciences -> Health systems administration ,All fields,Life sciences,Health sciences,Health systems administration ,,4,70,70,75,84,51,89,89,70,41,39
951,r079,"All fields -> Life sciences -> Health sciences -> Kinesiology, exercise science<sup>f</sup>",All fields,Life sciences,Health sciences,"Kinesiology, exercise science<sup>f</sup>",,4,212,211,215,198,228,214,249,264,232,276
951,r080,"All fields -> Life sciences -> Health sciences -> Medical physics, radiological science",All fields,Life sciences,Health sciences,"Medical physics, radiological science",,4,na,na,61,74,80,93,103,84,94,89
951,r081,All fields -> Life sciences -> Health sciences -> Nursing science ,All fields,Life sciences,Health sciences,Nursing science ,,4,504,511,482,523,552,510,580,536,482,552
951,r082,"All fields -> Life sciences -> Health sciences -> Oral biology, oral pathology",All fields,Life sciences,Health sciences,"Oral biology, oral pathology",,4,na,na,15,22,15,20,15,19,23,33
951,r083,All fields -> Life sciences -> Health sciences -> Pharmaceutical sciences<sup>g</sup>,All fields,Life sciences,Health sciences,Pharmaceutical sciences<sup>g</sup>,,4,277,277,274,271,295,332,279,270,274,292
951,r084,All fields -> Life sciences -> Health sciences -> Public health,All fields,Life sciences,Health sciences,Public health,,4,229,299,295,266,349,431,400,437,379,446
951,r085,"All fields -> Life sciences -> Health sciences -> Rehabilitation, therapeutic services ",All fields,Life sciences,Health sciences,"Rehabilitation, therapeutic services ",,4,89,80,61,60,80,85,83,86,108,86
951,r086,All fields -> Life sciences -> Health sciences -> Speech-language pathology and audiology ,All fields,Life sciences,Health sciences,Speech-language pathology and audiology ,,4,112,121,100,110,119,110,114,117,116,128
951,r087,All fields -> Life sciences -> Health sciences -> Veterinary sciences,All fields,Life sciences,Health sciences,Veterinary sciences,,4,54,60,57,60,59,67,42,56,49,51
951,r088,"All fields -> Life sciences -> Health sciences -> Health sciences, general ",All fields,Life sciences,Health sciences,"Health sciences, general ",,4,31,35,37,41,37,62,39,36,93,67
