table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_2019,field_2020,field_2021,field_2022
12471,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    5,218,911 ', '&nbsp;']","['5,600,668', '&nbsp;']","['6,124,669', '&nbsp;']","['5,710,570', '&nbsp;']"
12471,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    622,220 ', '&nbsp;']","['627,387', '&nbsp;']","['747,124', '&nbsp;']","['694,247', '&nbsp;']"
12471,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['    5,896 ', '&nbsp;']","['9,614', '&nbsp;']","['18,270', 'r']","['17,426', '&nbsp;']"
12471,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['    236 ', '&nbsp;']","['472', 'r']","['7,096', 'r']","['9,268', 'r']"
12471,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    4,065 ', '&nbsp;']","['0', '&nbsp;']","['134', '&nbsp;']","['0', '&nbsp;']"
12471,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['    0 ', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['898', 'r']"
12471,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['    555 ', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12471,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['    0 ', '&nbsp;']","['0', '&nbsp;']","['739', '&nbsp;']","['159', '&nbsp;']"
12471,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['    178,170 ', '&nbsp;']","['160,031', '&nbsp;']","['132,255', '&nbsp;']","['168,564', '&nbsp;']"
12471,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['    117,508 ', '&nbsp;']","['77,054', '&nbsp;']","['96,666', '&nbsp;']","['125,474', '&nbsp;']"
12471,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['    60,661 ', '&nbsp;']","['82,977', '&nbsp;']","['35,589', '&nbsp;']","['43,090', '&nbsp;']"
12471,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['    6,261 ', '&nbsp;']","['18,099', '&nbsp;']","['6,427', '&nbsp;']","['14,467', '&nbsp;']"
12471,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['    5,860 ', '&nbsp;']","['133', '&nbsp;']","['3,638', 'r']","['3,608', '&nbsp;']"
12471,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['    2,353 ', '&nbsp;']","['9,077', 'r']","['2,117', '&nbsp;']","['3,214', '&nbsp;']"
12471,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['    20,518 ', '&nbsp;']","['37,292', 'r']","['11,983', 'r']","['44,875', '&nbsp;']"
12471,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['    22,057 ', '&nbsp;']","['62,840', '&nbsp;']","['64,109', '&nbsp;']","['44,334', '&nbsp;']"
12471,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['    227,158 ', '&nbsp;']","['189,225', '&nbsp;']","['279,203', '&nbsp;']","['171,928', '&nbsp;']"
12471,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['    38,305 ', '&nbsp;']","['36,372', '&nbsp;']","['71,280', '&nbsp;']","['46,427', '&nbsp;']"
12471,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['    161,373 ', '&nbsp;']","['135,652', '&nbsp;']","['164,799', '&nbsp;']","['94,814', '&nbsp;']"
12471,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['    27,480 ', '&nbsp;']","['17,201', '&nbsp;']","['43,124', '&nbsp;']","['30,686', '&nbsp;']"
12471,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['    9,592 ', '&nbsp;']","['24,958', 'r']","['40,032', '&nbsp;']","['14,597', '&nbsp;']"
12471,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['    24,577 ', '&nbsp;']","['38,247', '&nbsp;']","['33,911', '&nbsp;']","['36,738', '&nbsp;']"
