table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_level_5,_b_detailed_field_b_hierarchy_depth,field_all_graduate_students_total_number,field_all_graduate_students_total_percent,field_all_graduate_students_full_time_all_full_time_number,field_all_graduate_students_full_time_all_full_time_percent,field_all_graduate_students_full_time_first_time_full_time_number,field_all_graduate_students_full_time_first_time_full_time_percent,field_all_graduate_students_part_time_number,field_all_graduate_students_part_time_percent,field_master_s_students_total_number,field_master_s_students_total_percent,field_master_s_students_full_time_all_full_time_number,field_master_s_students_full_time_all_full_time_percent,field_master_s_students_full_time_first_time_full_time_number,field_master_s_students_full_time_first_time_full_time_percent,field_master_s_students_part_time_number,field_master_s_students_part_time_percent,field_doctoral_students_total_number,field_doctoral_students_total_percent,field_doctoral_students_full_time_all_full_time_number,field_doctoral_students_full_time_all_full_time_percent,field_doctoral_students_full_time_first_time_full_time_number,field_doctoral_students_full_time_first_time_full_time_percent,field_doctoral_students_part_time_number,field_doctoral_students_part_time_percent
10692,r001,All detailed fields,All detailed fields,,,,,1,798534,100.0,579301,100.0,194733,100.0,219233,100.0,501311,100.0,319618,100.0,147317,100.0,181693,100.0,297223,100.0,259683,100.0,47416,100.0,37540,100.0
10692,r002,All detailed fields -> Science,All detailed fields,Science,,,,2,538166,67.4,392192,67.7,130265,66.9,145974,66.6,331983,66.2,208749,65.3,96349,65.4,123234,67.8,206183,69.4,183443,70.6,33916,71.5,22740,60.6
10692,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,,3,11596,1.5,8035,1.4,2205,1.1,3561,1.6,6949,1.4,4143,1.3,1534,1.0,2806,1.5,4647,1.6,3892,1.5,671,1.4,755,2.0
10692,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,,4,10310,1.3,7291,1.3,2000,1.0,3019,1.4,6165,1.2,3831,1.2,1406,1.0,2334,1.3,4145,1.4,3460,1.3,594,1.3,685,1.8
10692,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,,4,1286,0.2,744,0.1,205,0.1,542,0.2,784,0.2,312,0.1,128,0.1,472,0.3,502,0.2,432,0.2,77,0.2,70,0.2
10692,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,,3,102700,12.9,83617,14.4,24054,12.4,19083,8.7,43062,8.6,27987,8.8,13871,9.4,15075,8.3,59638,20.1,55630,21.4,10183,21.5,4008,10.7
10692,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,,4,5905,0.7,5330,0.9,1126,0.6,575,0.3,911,0.2,638,0.2,334,0.2,273,0.2,4994,1.7,4692,1.8,792,1.7,302,0.8
10692,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,,4,15569,1.9,11222,1.9,3082,1.6,4347,2.0,7969,1.6,4307,1.3,1803,1.2,3662,2.0,7600,2.6,6915,2.7,1279,2.7,685,1.8
10692,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,,4,10836,1.4,9465,1.6,3930,2.0,1371,0.6,5681,1.1,4565,1.4,2614,1.8,1116,0.6,5155,1.7,4900,1.9,1316,2.8,255,0.7
10692,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,,4,895,0.1,882,0.2,140,0.1,13,0.05,8,0.05,7,0.05,1,0.05,1,0.05,887,0.3,875,0.3,139,0.3,12,0.05
10692,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,,4,7651,1.0,6353,1.1,2124,1.1,1298,0.6,3852,0.8,2871,0.9,1495,1.0,981,0.5,3799,1.3,3482,1.3,629,1.3,317,0.8
10692,r012,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,,4,4021,0.5,2058,0.4,987,0.5,1963,0.9,3916,0.8,1967,0.6,976,0.7,1949,1.1,105,0.05,91,0.05,11,0.05,14,0.05
10692,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,,4,1670,0.2,1537,0.3,299,0.2,133,0.1,369,0.1,322,0.1,109,0.1,47,0.05,1301,0.4,1215,0.5,190,0.4,86,0.2
10692,r014,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",,4,6511,0.8,6001,1.0,1345,0.7,510,0.2,1137,0.2,826,0.3,455,0.3,311,0.2,5374,1.8,5175,2.0,890,1.9,199,0.5
10692,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,,4,3866,0.5,3216,0.6,724,0.4,650,0.3,1058,0.2,729,0.2,261,0.2,329,0.2,2808,0.9,2487,1.0,463,1.0,321,0.9
10692,r016,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,,4,6057,0.8,4594,0.8,1743,0.9,1463,0.7,3844,0.8,2754,0.9,1369,0.9,1090,0.6,2213,0.7,1840,0.7,374,0.8,373,1.0
