table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_sent_one_form,field_sent_multiple_formsa
6481,r001,Total,Total,,,1,45500,150
6481,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,19500,150
6481,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,15000,150
6481,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,4600,0
6481,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,2300,0
6481,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,1600,0
6481,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,750,0
6481,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,23500,0
6481,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,5500,0
6481,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,17500,0
6481,r011,Total -> Cases not in the frame,Total,Cases not in the frame,,2,150,0
